obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""255.021""","=""255.0200+""","=""20""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""4.861744""","=""5d.6s2""","=""2D""","=""3/2""","=""6s2.6f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""255.049""","=""255.0497+""","=""20""","=""""","=""""","=""""","=""""",,"=""0.512815""","=""5.373993""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.19d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""267.805""","=""""","=""90h""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""268.588""","=""268.5884+""","=""570h*""","=""""","=""""","=""""","=""""",,"=""0.512815""","=""5.128956""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s.6p2""","=""2D""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""268.588""","=""268.5884+""","=""570h*""","=""""","=""""","=""""","=""""",,"=""0.512815""","=""5.128956""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s.6p2?""","=""""","=""1/2""",2,2,,"=""""","=""L3475""",
"=""268.634""","=""268.6276+""","=""90h""","=""""","=""""","=""""","=""""",,"=""0.247215""","=""4.862681""","=""5d.6s2""","=""2D""","=""5/2""","=""6s2.6f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""271.671""","=""271.6745+""","=""90h""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""4.563705""","=""5d.6s2""","=""2D""","=""3/2""","=""6s2.8p""","=""2P*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""271.990""","=""271.9987+""","=""180D""","=""""","=""""","=""""","=""""",,"=""0.512815""","=""5.071079""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.9d""","=""2D""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""272.976""","=""272.9752+""","=""480h""","=""2.32e+07""","=""3.9e-02""","=""1.40e+00""","=""-0.81""",B,"=""0.000000""","=""4.541958""","=""5d.6s2""","=""2D""","=""3/2""","=""6s2.5f""","=""2F*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
"=""276.656""","=""276.6567+""","=""750h""","=""""","=""""","=""""","=""""",,"=""0.512815""","=""4.994333""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.10s""","=""2S""","=""1/2""",2,2,,"=""""","=""L3475""",
