property,value,unit,source,source_url,retrieved_at,notes,year,region
price_per_kg,460000.0,USD/kg,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/61/promethium,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
uses,It has been used as a source of radioactivity for thickness-measuring gages.,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/61/promethium,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
