obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""222.267""","=""222.26593""","=""0.00003""","=""100""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.6109571""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).7s""","=""2P""","=""1/2""",2,2,,"=""""","=""L7406""",
"=""222.562""","=""222.56427""","=""0.00004""","=""120r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""6.6260834""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).5d""","=""4P""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""226.321""","=""226.31838""","=""0.00004""","=""300r""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.5110742""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).6d""","=""2D""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""228.969""","=""228.96951""","=""0.00004""","=""120""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""6.6366207""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).5d""","=""4F""","=""3/2""",6,4,,"=""""","=""L7406""",
"=""229.415""","=""229.41595""","=""0.00004""","=""150r""","=""""","=""""","=""""","=""""",,"=""1.2217425""","=""6.6260834""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).5d""","=""4P""","=""5/2""",6,6,,"=""""","=""L7406""",
"=""230.717""","=""230.70980""","=""0.00004""","=""300r*""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""7.6633019""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""2D""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""230.717""","=""230.72167""","=""0.00004""","=""300r*""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.4065216""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).5d""","=""2P""","=""1/2""",2,2,,"=""""","=""L7406""",
"=""231.218""","=""231.21742""","=""0.00004""","=""2500r""","=""1.69e+08""","=""6.77e-02""","=""2.06e+00""","=""-0.567""",,"=""0.0000000""","=""5.3622344""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""T3880""","=""L7406""",
"=""231.660""","=""231.65918""","=""0.00004""","=""150""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""7.6412782""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""237.439""","=""237.43552""","=""0.00004""","=""400w""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""7.5110742""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).6d""","=""2D""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""238.437""","=""238.43431""","=""0.00004""","=""300w""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""7.4892004""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""""","=""5/2""",4,6,,"=""""","=""L7406""",
"=""239.595""","=""239.59386""","=""0.00004""","=""100""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.2075308""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).7s""","=""4P""","=""1/2""",2,2,,"=""""","=""L7406""",
"=""242.287""","=""242.28666""","=""0.00004""","=""150""","=""""","=""""","=""""","=""""",,"=""2.2892693""","=""7.4065216""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).5d""","=""2P""","=""1/2""",4,2,,"=""""","=""L7406""",
"=""242.709""","=""242.70758""","=""0.00004""","=""250""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.1411430""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).5d""","=""4D""","=""1/2""",2,2,,"=""""","=""L7406""",
"=""244.625""","=""244.62433""","=""0.00004""","=""400r""","=""""","=""""","=""""","=""""",,"=""1.0553690""","=""6.1237200""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",4,4,,"=""""","=""L7406""",
"=""247.907""","=""247.90641""","=""0.00004""","=""400""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.0340156""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).5d""","=""2P""","=""3/2""",2,4,,"=""""","=""L7406""",
"=""248.119""","=""248.11895""","=""0.00004""","=""150""","=""""","=""""","=""""","=""""",,"=""2.0327654""","=""7.0297315""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).5d""","=""4P""","=""1/2""",2,2,,"=""""","=""L7406""",
