obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""121.00525""","=""0.00010""","=""121.00524""","=""0.00006""","=""65000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.246184""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.nd""","=""C""","=""5/2, 3/2 or 1/2""",4,6,,"=""""","=""L368c164,L13998""",
"=""121.05267""","=""0.00010""","=""121.05260""","=""0.00005""","=""65000l""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.242176""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<2>).12s""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L368c164,L13998""",
"=""121.08823""","=""0.00010""","=""121.08826""","=""0.00007""","=""11000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.239159""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<2>).12s""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L368c164,L13998""",
"=""121.21797""","=""0.00010""","=""121.21792""","=""0.00004""","=""65000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.228207""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<1>).6d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L368c164,L13998""",
"=""121.22442""","=""0.00010""","=""121.22448""","=""0.00006""","=""65000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.227654""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<1>).6d""","=""2[3]""","=""5/2""",4,6,,"=""""","=""L368c164,L13998""",
"=""121.32019""","=""0.00010""","=""121.32019""","=""0.00003""","=""65000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.2195845""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<0>).6d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L368c164,L13998""",
"=""121.36298""","=""0.00010""","=""121.36316""","=""0.00004""","=""43000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.215966""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<0>).6d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L368c164,L13998""",
"=""""","=""""","=""121.60226""","=""0.00003""","=""m(I II, H I)""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.195880""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L368,L13998,c153""",
"=""121.71443""","=""0.00010""","=""121.714286""","=""0.000024""","=""160000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.1864951""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<1>).6d""","=""2[1]""","=""3/2""",4,4,,"=""""","=""L368c164,L13998""",
"=""121.81202""","=""0.00010""","=""121.81213""","=""0.00005""","=""43000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.178313""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<2>).11s""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L368c164,L13998""",
"=""121.84138""","=""0.00010""","=""121.84135""","=""0.00005""","=""220000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.175872""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<2>).11s""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L368c164,L13998""",
"=""121.8912""","=""0.0010""","=""121.89023""","=""0.00003""","=""75000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.171791""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L368c164,L13998""",
"=""121.90895""","=""0.00010""","=""121.90897""","=""0.00003""","=""75000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.1702275""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<1>).6d""","=""2[1]""","=""1/2""",4,2,,"=""""","=""L368c164,L13998""",
"=""122.34322""","=""0.00010""","=""122.34308""","=""0.00006""","=""110000""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""10.134141""","=""5s2.5p5""","=""2P*""","=""3/2""","=""5s2.5p4.(3P<2>).9d""","=""2[1]""","=""3/2""",4,4,,"=""""","=""L368c164,L13998""",
