property,value,unit,source,source_url,retrieved_at,notes,year,region
price_per_kg,6490000.0,USD/kg,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/94/plutonium,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
uses,Used in bombs and reactors. Small quantities are used in thermo-electric generators.,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/94/plutonium,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
