property,value,unit,energy,particle_or_photon,isotope,transition,process,source,source_url,retrieved_at,notes,abundance
mass_energy_absorption_coefficient,0.02084,cm²/g,0.04 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1665,cm²/g,0.05 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.01737,cm²/g,0.05 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1583,cm²/g,0.06 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.0168,cm²/g,0.06 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1472,cm²/g,0.08 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.01785,cm²/g,0.08 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1391,cm²/g,0.1 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.0194,cm²/g,0.1 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1243,cm²/g,0.15 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
