obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""""","=""""","=""367.381""","=""0.006""","=""""","=""8.6e+03""","=""1.2e-05""","=""8.4e-04""","=""-4.16""",D,"=""7.747215""","=""11.12203""","=""2s2.5d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",6,4,,"=""u27""","=""""",
"=""""","=""""","=""418.013""","=""0.004""","=""""","=""1.2e+05""","=""6.5e-04""","=""1.8e-02""","=""-2.88""",D+,"=""6.0271033""","=""8.993138""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",2,4,,"=""u27""","=""""",
"=""""","=""""","=""418.044""","=""0.004""","=""""","=""6.1e+05""","=""1.6e-03""","=""8.8e-02""","=""-2.19""",D+,"=""6.0273243""","=""8.993138""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",4,4,,"=""u27""","=""""",
"=""""","=""""","=""418.217""","=""0.003""","=""""","=""4.9e+05""","=""1.3e-03""","=""3.5e-02""","=""-2.59""",D+,"=""6.0271033""","=""8.991694""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",2,2,,"=""u27""","=""""",
"=""""","=""""","=""418.248""","=""0.003""","=""""","=""2.5e+05""","=""3.3e-04""","=""1.8e-02""","=""-2.88""",D+,"=""6.0273243""","=""8.991694""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",4,2,,"=""u27""","=""""",
"=""550.6094""","=""0.0015""","=""550.6056""","=""0.0015""","=""a*""","=""""","=""""","=""""","=""""",,"=""5.9334881""","=""8.185267""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.11f""","=""2F*""","=""5/2,7/2""",6,14,,"=""""","=""L694""",
"=""550.6094""","=""0.0015""","=""550.6152""","=""0.0015""","=""a*""","=""""","=""""","=""""","=""""",,"=""5.9335273""","=""8.185267""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.11f""","=""2F*""","=""5/2,7/2""",4,14,,"=""""","=""L694""",
"=""556.4730""","=""0.0015""","=""556.4691""","=""0.0015""","=""a*""","=""""","=""""","=""""","=""""",,"=""5.9334881""","=""8.161540""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.10f""","=""2F*""","=""5/2,7/2""",6,14,,"=""""","=""L694""",
"=""556.4730""","=""0.0015""","=""556.4788""","=""0.0015""","=""a*""","=""""","=""""","=""""","=""""",,"=""5.9335273""","=""8.161540""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.10f""","=""2F*""","=""5/2,7/2""",4,14,,"=""""","=""L694""",
"=""563.4633""","=""0.0003""","=""563.46353""","=""0.00007""","=""""","=""2.25e+05""","=""2.14e-03""","=""7.94e-02""","=""-2.368""",C+,"=""4.9642890""","=""7.1646833""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T7192""","=""u30""",
"=""""","=""""","=""563.48368""","=""0.00008""","=""""","=""2.25e+05""","=""1.07e-03""","=""3.97e-02""","=""-2.669""",C+,"=""4.9642890""","=""7.1646047""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T7192""","=""u30""",
"=""564.5888""","=""0.0015""","=""564.5845""","=""0.0015""","=""a*""","=""""","=""""","=""""","=""""",,"=""5.9334881""","=""8.129514""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.9f""","=""2F*""","=""5/2,7/2""",6,14,,"=""""","=""L694""",
"=""564.5888""","=""0.0015""","=""564.5946""","=""0.0015""","=""a*""","=""""","=""""","=""""","=""""",,"=""5.9335273""","=""8.129514""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.9f""","=""2F*""","=""5/2,7/2""",4,14,,"=""""","=""L694""",
"=""576.3541""","=""0.0015""","=""576.3499""","=""0.0015""","=""a*""","=""5.7e+05""","=""3.8e-03""","=""4.3e-01""","=""-1.64""",D+,"=""5.9334881""","=""8.084685""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""7/2""",6,8,,"=""u27""","=""L694""",
"=""576.3541""","=""0.0015""","=""576.3499""","=""0.0015""","=""a*""","=""3.9e+04""","=""1.9e-04""","=""2.2e-02""","=""-2.94""",D+,"=""5.9334881""","=""8.084685""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""5/2""",6,6,,"=""u27""","=""L694""",
"=""576.3541""","=""0.0015""","=""576.3604""","=""0.0015""","=""a*""","=""5.3e+05""","=""4.0e-03""","=""3.0e-01""","=""-1.80""",D+,"=""5.9335273""","=""8.084685""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.8f""","=""2F*""","=""5/2""",4,6,,"=""u27""","=""L694""",
"=""582.001""","=""0.020""","=""581.995""","=""0.013""","=""60""","=""""","=""""","=""""","=""""",,"=""8.991694""","=""11.12203""","=""2s.2p2""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",2,4,,"=""""","=""L6232""",
"=""582.268""","=""0.020""","=""582.278""","=""0.013""","=""100""","=""""","=""""","=""""","=""""",,"=""8.993138""","=""11.12244""","=""2s.2p2""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",4,6,,"=""""","=""L6232""",
"=""582.394""","=""0.020""","=""582.389""","=""0.013""","=""10""","=""""","=""""","=""""","=""""",,"=""8.993138""","=""11.12203""","=""2s.2p2""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,4,,"=""""","=""L6232""",
"=""594.428""","=""0.004""","=""594.4266""","=""0.0012""","=""3a*""","=""8.4e+05""","=""6.0e-03""","=""7.0e-01""","=""-1.45""",D+,"=""5.9334881""","=""8.019266""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""7/2""",6,8,,"=""u27""","=""L694""",
"=""594.428""","=""0.004""","=""594.4266""","=""0.0012""","=""3a*""","=""5.6e+04""","=""3.0e-04""","=""3.5e-02""","=""-2.75""",D+,"=""5.9334881""","=""8.019266""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""5/2""",6,6,,"=""u27""","=""L694""",
"=""594.437""","=""0.004""","=""594.4377""","=""0.0012""","=""2a""","=""7.9e+05""","=""6.3e-03""","=""4.9e-01""","=""-1.60""",D+,"=""5.9335273""","=""8.019266""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.7f""","=""2F*""","=""5/2""",4,6,,"=""u27""","=""L694""",
"=""""","=""""","=""602.939""","=""0.006""","=""""","=""1.4e+05""","=""1.5e-03""","=""5.9e-02""","=""-2.53""",C,"=""6.0271033""","=""8.083434""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.8d""","=""2D""","=""3/2""",2,4,,"=""u27""","=""""",
"=""""","=""""","=""603.004""","=""0.006""","=""""","=""1.63e+05""","=""1.34e-03""","=""1.06e-01""","=""-2.27""",C,"=""6.0273243""","=""8.083434""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""5/2""",4,6,,"=""u27""","=""""",
"=""""","=""""","=""603.004""","=""0.006""","=""""","=""2.73e+04""","=""1.49e-04""","=""1.18e-02""","=""-3.23""",C,"=""6.0273243""","=""8.083434""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""3/2""",4,4,,"=""u27""","=""""",
"=""""","=""""","=""618.038""","=""0.006""","=""""","=""2.7e+05""","=""1.6e-03""","=""6.4e-02""","=""-2.50""",C,"=""6.0271033""","=""8.033195""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.8s""","=""2S""","=""1/2""",2,2,,"=""u27""","=""""",
"=""""","=""""","=""618.107""","=""0.006""","=""""","=""5.50e+05""","=""1.57e-03""","=""1.28e-01""","=""-2.20""",C,"=""6.0273243""","=""8.033195""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.8s""","=""2S""","=""1/2""",4,2,,"=""u27""","=""""",
"=""""","=""""","=""622.918""","=""0.006""","=""""","=""1.7e+05""","=""2.0e-03""","=""8.3e-02""","=""-2.39""",C,"=""6.0271033""","=""8.017482""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.7d""","=""2D""","=""3/2""",2,4,,"=""u27""","=""""",
"=""""","=""""","=""622.987""","=""0.006""","=""""","=""2.08e+05""","=""1.82e-03""","=""1.49e-01""","=""-2.139""",C,"=""6.0273243""","=""8.017482""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7d""","=""2D""","=""5/2""",4,6,,"=""u27""","=""""",
"=""""","=""""","=""622.987""","=""0.006""","=""""","=""3.46e+04""","=""2.01e-04""","=""1.65e-02""","=""-3.094""",C,"=""6.0273243""","=""8.017482""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7d""","=""2D""","=""3/2""",4,4,,"=""u27""","=""""",
"=""624.630""","=""0.004""","=""624.6285""","=""0.0012""","=""9a*""","=""1.4e+06""","=""1.1e-02""","=""1.3e+00""","=""-1.2""",D,"=""5.9334881""","=""7.918415""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",6,8,,"=""u27""","=""L694""",
"=""624.630""","=""0.004""","=""624.6285""","=""0.0012""","=""9a*""","=""8.7e+04""","=""5.1e-04""","=""6.3e-02""","=""-2.51""",D,"=""5.9334881""","=""7.918415""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",6,6,,"=""u27""","=""L694""",
"=""624.639""","=""0.004""","=""624.6408""","=""0.0012""","=""6a""","=""1.2e+06""","=""1.1e-02""","=""8.8e-01""","=""-1.37""",D,"=""5.9335273""","=""7.918415""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",4,6,,"=""u27""","=""L694""",
"=""""","=""""","=""643.329""","=""0.006""","=""""","=""5.18e+05""","=""3.21e-03""","=""1.36e-01""","=""-2.19""",C,"=""6.0271033""","=""7.954332""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.7s""","=""2S""","=""1/2""",2,2,,"=""u27""","=""""",
"=""""","=""""","=""643.403""","=""0.006""","=""""","=""1.04e+06""","=""3.21e-03""","=""2.72e-01""","=""-1.891""",C,"=""6.0273243""","=""7.954332""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7s""","=""2S""","=""1/2""",4,2,,"=""u27""","=""""",
"=""""","=""""","=""656.450""","=""0.007""","=""""","=""2.01e+05""","=""2.59e-03""","=""1.12e-01""","=""-2.29""",C,"=""6.0271033""","=""7.915811""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",2,4,,"=""u27""","=""""",
"=""""","=""""","=""656.527""","=""0.007""","=""""","=""2.41e+05""","=""2.34e-03""","=""2.02e-01""","=""-2.029""",C,"=""6.0273243""","=""7.915811""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""u27""","=""""",
"=""""","=""""","=""656.527""","=""0.007""","=""""","=""4.03e+04""","=""2.60e-04""","=""2.25e-02""","=""-2.982""",C,"=""6.0273243""","=""7.915811""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",4,4,,"=""u27""","=""""",
"=""""","=""""","=""678.053""","=""0.009""","=""""","=""1.6e+04""","=""2.2e-04""","=""9.9e-03""","=""-3.35""",C,"=""7.1646047""","=""8.993138""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",2,4,,"=""u27""","=""""",
"=""""","=""""","=""678.082""","=""0.009""","=""""","=""8.02e+04""","=""5.52e-04""","=""4.93e-02""","=""-2.656""",C,"=""7.1646833""","=""8.993138""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",4,4,,"=""u27""","=""""",
