obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""503.2445""","=""0.0005""","=""503.244+""","=""23""","=""1.59e+06""","=""4.0e-03""","=""4.0e-01""","=""-1.62""",C+,"=""2.4237465""","=""4.887445""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""5/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[5/2]*""","=""3/2""",6,4,,"=""T6708""","=""L2006""",
"=""504.4911""","=""0.0005""","=""504.4910+""","=""220""","=""2.59e+06""","=""8.5e-03""","=""1.97e+00""","=""-0.93""",B,"=""2.1641216""","=""4.6217314""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",14,12,,"=""T6708""","=""L2006,L3475""",
"=""504.6165""","=""0.0005""","=""504.617+""","=""5""","=""6.3e+04""","=""2.1e-04""","=""6.4e-02""","=""-2.41""",C+,"=""2.0403972""","=""4.497395""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)""","=""*""","=""15/2""",18,16,,"=""T6708""","=""L2006""",
"=""504.6815""","=""0.0005""","=""504.6819+""","=""350""","=""""","=""""","=""""","=""""",,"=""2.4485073""","=""4.9051872""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""""","=""L2006,L3475""",
"=""505.4452""","=""0.0005""","=""505.4448+""","=""290""","=""2.11e+05""","=""1.08e-03""","=""1.08e-01""","=""-2.19""",B,"=""1.0874955""","=""3.5404678""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)""","=""7/2""",6,8,,"=""T6708""","=""L2006""",
"=""506.2306""","=""0.0005""","=""506.2309+""","=""1500""","=""4.0e+05""","=""1.53e-03""","=""2.04e-01""","=""-1.91""",B,"=""0.0000000""","=""2.4491628""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
"=""506.3661""","=""0.0005""","=""506.3665+""","=""270""","=""4.9e+04""","=""2.4e-04""","=""3.2e-02""","=""-2.72""",C+,"=""0.0000000""","=""2.4485073""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""",8,10,,"=""T3042n""","=""L2006,L3475""",
"=""506.7224""","=""0.0005""","=""506.723+""","=""76""","=""4.7e+05""","=""2.12e-03""","=""4.2e-01""","=""-1.60""",B,"=""2.3375761""","=""4.784359""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""506.7288""","=""0.0005""","=""506.7292+""","=""270""","=""""","=""""","=""""","=""""",,"=""2.4491628""","=""4.8959173""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""""","=""L2006,L3475""",
"=""506.8083""","=""0.0005""","=""506.8082+""","=""800""","=""2.66e+07""","=""1.23e-01""","=""2.05e+01""","=""0.090""",B+,"=""2.4485073""","=""4.8948804""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[9/2]*""","=""11/2""",10,12,,"=""T6708""","=""L2006,L3475""",
"=""507.0303""","=""0.0005""","=""507.030+""","=""120""","=""5.7e+05""","=""1.95e-03""","=""5.9e-01""","=""-1.45""",B+,"=""2.0403972""","=""4.485699""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<5/2>)""","=""(6,5/2)*""","=""15/2""",18,16,,"=""T6708""","=""L2006""",
"=""507.2471""","=""0.0005""","=""507.2476+""","=""78""","=""2.50e+06""","=""7.7e-03""","=""1.29e+00""","=""-1.11""",B,"=""2.4485073""","=""4.8927614""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""7/2""",10,8,,"=""T6708""","=""L2006""",
"=""507.3830""","=""0.0005""","=""507.3836+""","=""270""","=""1.40e+07""","=""5.4e-02""","=""7.2e+00""","=""-0.364""",B+,"=""2.4491628""","=""4.8927614""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
"=""507.4927""","=""0.0005""","=""507.493+""","=""250""","=""2.07e+06""","=""9.1e-03""","=""2.14e+00""","=""-0.893""",B+,"=""2.1641216""","=""4.607192""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""507.7775""","=""0.0005""","=""507.7778+""","=""270*""","=""""","=""""","=""""","=""""",,"=""2.7027787""","=""5.1444806""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<3>)""","=""""","=""5/2""",4,6,,"=""""","=""L2006,L3475""",
"=""507.7775""","=""0.0005""","=""507.7775+""","=""270*""","=""""","=""""","=""""","=""""",,"=""2.8395019""","=""5.2812050""","=""4f12.(3H<6>).6s2.6p<1/2>""","=""(6,1/2)*""","=""13/2""","=""""","=""""","=""11/2""",14,12,,"=""""","=""L2006,L3475""",
"=""507.8598""","=""0.0005""","=""507.8600+""","=""270""","=""""","=""""","=""""","=""""",,"=""2.4491628""","=""4.8904693""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f13.(2F*<7/2>).6s.6d.(1D)""","=""*""","=""9/2""",8,10,,"=""""","=""L2006,L3475""",
"=""508.1993""","=""0.0005""","=""508.1987+""","=""39""","=""4.3e+04""","=""1.67e-04""","=""1.67e-02""","=""-3.00""",C+,"=""1.0874955""","=""3.5271750""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)""","=""5/2""",6,6,,"=""T6708""","=""L2006""",
"=""508.5661""","=""0.0005""","=""508.5663+""","=""10""","=""9.6e+04""","=""4.5e-04""","=""7.5e-02""","=""-2.35""",C+,"=""2.1838154""","=""4.6217314""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""508.6041""","=""0.0005""","=""508.6048+""","=""15""","=""3.2e+05""","=""1.26e-03""","=""2.10e-01""","=""-1.90""",C+,"=""2.3355381""","=""4.7732696""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""508.6503""","=""0.0005""","=""508.6511+""","=""350*""","=""""","=""""","=""""","=""""",,"=""2.4491628""","=""4.8866725""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""7/2""",8,8,,"=""""","=""L2006,L3475""",
"=""508.6503""","=""0.0005""","=""508.651+""","=""350*""","=""""","=""""","=""""","=""""",,"=""2.5301257""","=""4.967638""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""""","=""""","=""5/2""",6,6,,"=""""","=""L2006,L3475""",
"=""510.2551""","=""0.0005""","=""510.255+""","=""100""","=""9.0e+05""","=""4.1e-03""","=""8.3e-01""","=""-1.31""",B+,"=""2.3545103""","=""4.784359""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""510.8956""","=""0.0005""","=""510.8956+""","=""400""","=""1.63e+07""","=""6.4e-02""","=""1.07e+01""","=""-0.19""",B+,"=""2.4485073""","=""4.8753084""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""9/2""",10,10,,"=""T6708""","=""L2006,L3475""",
"=""511.5395""","=""0.0005""","=""511.5395+""","=""950""","=""2.4e+05""","=""7.1e-04""","=""9.6e-02""","=""-2.25""",C+,"=""0.0000000""","=""2.4237465""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""5/2""",8,6,,"=""T6708""","=""L2006,L3475""",
"=""512.2098""","=""0.0005""","=""512.2096+""","=""220""","=""""","=""""","=""""","=""""",,"=""2.4491628""","=""4.8697381""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[5/2]*""","=""5/2""",8,6,,"=""""","=""L2006,L3475""",
"=""512.5944""","=""0.0005""","=""512.5942+""","=""18""","=""4.7e+05""","=""1.56e-03""","=""3.2e-01""","=""-1.73""",B,"=""2.3545103""","=""4.7732696""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""512.9248""","=""0.0005""","=""512.9246+""","=""53""","=""1.39e+06""","=""5.5e-03""","=""9.3e-01""","=""-1.26""",C+,"=""2.4485073""","=""4.8657083""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""513.0639""","=""0.0005""","=""513.0638+""","=""8""","=""2.6e+05""","=""1.30e-03""","=""1.8e-01""","=""-1.98""",C+,"=""2.4491628""","=""4.8657083""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""513.5712""","=""0.0005""","=""513.5713+""","=""53""","=""1.05e+06""","=""4.2e-03""","=""7.0e-01""","=""-1.38""",B,"=""2.4485073""","=""4.8626646""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[11/2]*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""513.6934""","=""0.0005""","=""513.6933+""","=""35""","=""2.83e+05""","=""9.3e-04""","=""1.89e-01""","=""-1.95""",B+,"=""1.9326423""","=""4.3462265""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""513.7113""","=""0.0005""","=""513.7108+""","=""26""","=""7.9e+05""","=""3.9e-03""","=""5.3e-01""","=""-1.50""",B,"=""2.4491628""","=""4.8626646""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[11/2]*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""514.4319""","=""0.0005""","=""514.4316+""","=""790""","=""1.08e+07""","=""3.43e-02""","=""5.8e+00""","=""-0.46""",B+,"=""2.4485073""","=""4.8586274""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[5/2]*""","=""7/2""",10,8,,"=""T6708""","=""L2006""",
"=""514.9139""","=""0.0005""","=""514.9138+""","=""120""","=""1.00e+06""","=""5.0e-03""","=""6.7e-01""","=""-1.40""",B,"=""2.1024008""","=""4.5102641""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""515.1840""","=""0.0005""","=""515.1838+""","=""13""","=""2.7e+05""","=""9.1e-04""","=""2.2e-01""","=""-1.90""",C+,"=""2.4135586""","=""4.8201598""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",14,12,,"=""T6708""","=""L2006""",
"=""516.1980""","=""0.0005""","=""516.198+""","=""390""","=""3.7e+05""","=""1.0e-03""","=""1.0e-01""","=""-2.2""",E,"=""1.0874955""","=""3.489370""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)""","=""3/2""",6,4,,"=""T3338n""","=""L2006""",
"=""516.9638""","=""0.0005""","=""516.9642+""","=""8""","=""3.1e+05""","=""1.5e-03""","=""2.5e-01""","=""-1.83""",C,"=""2.6951295""","=""5.0934425""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""517.6053""","=""0.0005""","=""517.6058+""","=""15""","=""3.32e+05""","=""1.17e-03""","=""3.18e-01""","=""-1.73""",B+,"=""2.3176458""","=""4.7129859""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",16,14,,"=""T6708""","=""L2006""",
"=""518.4123""","=""0.0005""","=""518.412+""","=""190""","=""""","=""""","=""""","=""""",,"=""2.7027787""","=""5.094393""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<3>)""","=""(7/2,3)""","=""1/2""",4,2,,"=""""","=""L2006,L3475""",
"=""518.6693""","=""0.0005""","=""518.6710+""","=""400*""","=""""","=""""","=""""","=""""",,"=""3.0625409""","=""5.4529619""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[9/2]*""","=""9/2""","=""4f13.(2F*<7/2>).5d.6p.(3D*<2>)""","=""(7/2,2)""","=""7/2""",10,8,,"=""""","=""L2006,L3475""",
"=""518.6693""","=""0.0005""","=""518.669+""","=""400*""","=""7.2e+05""","=""2.9e-03""","=""3.0e-01""","=""-1.76""",B,"=""1.0874955""","=""3.477927""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f13.(2F*<5/2>).6s.6p.(3P*<2>)""","=""""","=""5/2""",6,6,,"=""T6708""","=""L2006,L3475""",
"=""520.0555""","=""0.0005""","=""520.055+""","=""190""","=""1.23e+07""","=""3.3e-02""","=""3.4e+00""","=""-0.70""",B,"=""2.5301257""","=""4.914183""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""""","=""""","=""3/2""",6,4,,"=""T6708""","=""L2006""",
"=""520.8575""","=""0.0005""","=""520.8576+""","=""75""","=""6.2e+05""","=""2.87e-03""","=""6.9e-01""","=""-1.40""",B+,"=""2.1641216""","=""4.5445074""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<3/2>)""","=""(6,3/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""521.4101""","=""0.0005""","=""521.4098+""","=""120""","=""5.0e+05""","=""1.79e-03""","=""4.9e-01""","=""-1.54""",B+,"=""1.8933629""","=""4.2712276""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""13/2""",16,14,,"=""T6708""","=""L2006""",
"=""521.4828""","=""0.0005""","=""521.483+""","=""800""","=""5.7e+06""","=""2.31e-02""","=""7.1e+00""","=""-0.381""",B+,"=""2.0403972""","=""4.417930""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<5/2>)""","=""(6,5/2)*""","=""17/2""",18,18,,"=""T6708""","=""L2006,L3475""",
"=""521.7695""","=""0.0005""","=""521.770+""","=""8""","=""1.05e+05""","=""4.3e-04""","=""1.18e-01""","=""-2.16""",C+,"=""2.3176458""","=""4.693871""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)""","=""(6,7/2)*""","=""15/2""",16,16,,"=""T6708""","=""L2006""",
"=""521.9488""","=""0.0005""","=""521.9487+""","=""130""","=""1.39e+06""","=""6.6e-03""","=""1.37e+00""","=""-1.10""",B+,"=""2.3375761""","=""4.7129859""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""522.7759""","=""0.0005""","=""522.7756+""","=""53""","=""5.6e+05""","=""2.7e-03""","=""4.7e-01""","=""-1.56""",C+,"=""2.4485073""","=""4.8201598""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""522.969""","=""0.003""","=""522.963+""","=""220bl(Tm II)""","=""6.0e+05""","=""2.45e-03""","=""5.9e-01""","=""-1.46""",B,"=""2.4135586""","=""4.784359""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L3475""",
"=""525.6966""","=""0.0005""","=""525.6963+""","=""52""","=""4.6e+05""","=""2.21e-03""","=""4.6e-01""","=""-1.58""",B,"=""2.3545103""","=""4.7129859""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""527.6182""","=""0.0005""","=""527.6178+""","=""130""","=""1.16e+06""","=""4.2e-03""","=""1.18e+00""","=""-1.17""",B+,"=""2.3176458""","=""4.6675322""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",16,14,,"=""T6708""","=""L2006""",
"=""528.6857""","=""0.0005""","=""528.6854+""","=""8""","=""1.4e+05""","=""4.8e-04""","=""9.9e-02""","=""-2.24""",C,"=""2.3375761""","=""4.6827173""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""529.2615""","=""0.0005""","=""529.262+""","=""400""","=""""","=""""","=""""","=""""",,"=""2.7027787""","=""5.045367""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<3>)""","=""(7/2,3)""","=""3/2""",4,4,,"=""""","=""L2006,L3475""",
"=""529.5797""","=""0.0005""","=""529.579+""","=""400*""","=""""","=""""","=""""","=""""",,"=""3.833787""","=""6.174971""","=""4f13.(2F*<5/2>).5d.6s.(3D)""","=""3[9/2]*""","=""7/2""","=""4f13.(2F*<7/2>).6s (7/2,1/2)*<4>.42p<3/2>""","=""(4,3/2)""","=""5/2 or 7/2 or 9/2""",8,6,,"=""""","=""L2006,L3475""",
"=""529.5797""","=""0.0005""","=""529.579+""","=""400*""","=""""","=""""","=""""","=""""",,"=""3.1863584""","=""5.527543""","=""4f12.(3H<6>).6s2.6p<3/2>""","=""(6,3/2)*""","=""9/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<4>)""","=""(7/2,4)""","=""9/2""",10,10,,"=""""","=""L2006,L3475""",
"=""529.9408""","=""0.0005""","=""529.9405+""","=""12""","=""1.09e+05""","=""3.8e-04""","=""8.0e-02""","=""-2.34""",B,"=""1.9326423""","=""4.2722293""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""530.1680""","=""0.0005""","=""530.1675+""","=""350""","=""1.98e+06""","=""9.7e-03""","=""2.04e+00""","=""-0.932""",B+,"=""1.9326423""","=""4.2712276""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""11/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""13/2""",12,14,,"=""T6708""","=""L2006,L3475""",
"=""530.4169""","=""0.0005""","=""530.417+""","=""350""","=""""","=""""","=""""","=""""",,"=""2.5301257""","=""4.867610""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","=""""","=""""","=""5/2""",6,6,,"=""""","=""L2006,L3475""",
"=""530.8593""","=""0.0005""","=""530.8592+""","=""6500""","=""2.17e+06""","=""1.15e-02""","=""1.60e+00""","=""-1.038""",B+,"=""0.0000000""","=""2.3355381""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""9/2""",8,10,,"=""T6708""","=""L2006,L3475""",
"=""531.3342""","=""0.0005""","=""531.3343+""","=""10""","=""3.5e+05""","=""1.77e-03""","=""3.10e-01""","=""-1.75""",B,"=""2.3355381""","=""4.6689880""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""531.3745""","=""0.0005""","=""531.374+""","=""250""","=""1.33e+06""","=""6.4e-03""","=""1.58e+00""","=""-1.04""",B+,"=""2.1641216""","=""4.497395""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)""","=""*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""532.3365""","=""0.0005""","=""532.336+""","=""20""","=""1.02e+06""","=""6.5e-03""","=""4.6e-01""","=""-1.58""",C+,"=""2.7027787""","=""5.031839""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","=""""","=""""","=""5/2""",4,6,,"=""T6708""","=""L2006""",
"=""532.5309""","=""0.0005""","=""532.5308+""","=""100""","=""2.1e+06""","=""7.5e-03""","=""1.59e+00""","=""-1.04""",C+,"=""2.3545103""","=""4.6827173""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""532.6076""","=""0.0005""","=""532.608+""","=""120""","=""4.0e+05""","=""1.72e-03""","=""4.8e-01""","=""-1.56""",B+,"=""1.8933629""","=""4.221233""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<5/2>)""","=""(6,5/2)*""","=""15/2""",16,16,,"=""T6708""","=""L2006""",
"=""532.7985""","=""0.0005""","=""532.7988+""","=""5""","=""9.5e+04""","=""4.1e-04""","=""1.0e-01""","=""-2.25""",B,"=""2.1641216""","=""4.4911575""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L2006""",
"=""532.9330""","=""0.0005""","=""532.9333+""","=""10""","=""2.47e+05""","=""1.05e-03""","=""1.84e-01""","=""-1.98""",B,"=""2.1838154""","=""4.5102641""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""533.4705""","=""0.0005""","=""533.4703+""","=""5""","=""2.1e+05""","=""1.10e-03""","=""1.5e-01""","=""-2.06""",C,"=""2.4491628""","=""4.7732696""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""534.0385""","=""0.0005""","=""534.0384+""","=""120""","=""""","=""""","=""""","=""""",,"=""2.1024008""","=""4.4240353""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""7/2""",8,8,,"=""""","=""L2006,L3475""",
"=""534.0516""","=""0.0005""","=""534.052+""","=""250""","=""1.91e+06""","=""9.3e-03""","=""2.30e+00""","=""-0.884""",B+,"=""2.1641216""","=""4.485699""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<5/2>)""","=""(6,5/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006,L3475""",
"=""536.0272""","=""0.0005""","=""536.0269+""","=""13""","=""2.36e+05""","=""1.19e-03""","=""2.51e-01""","=""-1.85""",B,"=""2.3545103""","=""4.6675322""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",12,14,,"=""T6708""","=""L2006""",
"=""""","=""""","=""538.6657+""","=""""","=""2.6e+06""","=""1.1e-02""","=""2.4e+00""","=""-0.87""",D+,"=""2.8900691""","=""5.1917601""","=""4f12.(3F<4>).5d<5/2>.6s2""","=""(4,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",12,12,,"=""T6708""","=""""",
"=""538.8234""","=""0.0005""","=""538.823+""","=""26""","=""3.29e+05""","=""1.61e-03""","=""4.6e-01""","=""-1.59""",B+,"=""2.3176458""","=""4.618663""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)""","=""*""","=""17/2""",16,18,,"=""T6708""","=""L2006""",
"=""539.1959""","=""0.0005""","=""539.1960+""","=""40""","=""4.0e+05""","=""1.75e-03""","=""4.4e-01""","=""-1.61""",B,"=""2.4135586""","=""4.7129859""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L2006""",
