obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""469.2424""","=""0.0005""","=""469.2426+""","=""1200""","=""3.53e+06""","=""1.17e-02""","=""1.08e+00""","=""-1.155""",B+,"=""1.0874955""","=""3.729715""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f12.(3F<2>).5d<3/2>.6s2""","=""""","=""5/2""",6,6,,"=""T6708""","=""L2006,L3475""",
"=""470.2881""","=""0.0005""","=""470.2883+""","=""670""","=""5.2e+06""","=""2.06e-02""","=""3.19e+00""","=""-0.686""",B+,"=""2.1838154""","=""4.8201598""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""471.2961""","=""0.0005""","=""471.2959+""","=""5""","=""1.5e+05""","=""4.1e-04""","=""7.7e-02""","=""-2.30""",C,"=""2.3545103""","=""4.9852185""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.(3F<3>).6s2.6p<3/2>""","=""(3,3/2)*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""472.5582""","=""0.0005""","=""472.55850+""","=""1100""","=""4.21e+05""","=""1.06e-03""","=""1.32e-01""","=""-2.073""",B+,"=""0.0000000""","=""2.6236793""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""5/2""",8,6,,"=""T6708""","=""L2006,L3475""",
"=""472.6870""","=""0.0005""","=""472.6871+""","=""90""","=""1.36e+06""","=""5.7e-03""","=""7.1e-01""","=""-1.34""",B+,"=""2.1503043""","=""4.7732696""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""473.4659""","=""0.0005""","=""473.46611+""","=""6800""","=""2.00e+06""","=""6.7e-03""","=""8.4e-01""","=""-1.269""",B+,"=""0.0000000""","=""2.6186499""","=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""7/2""",8,8,,"=""T6708""","=""L2006,L3475""",
"=""475.5919""","=""0.0005""","=""475.5920+""","=""67""","=""1.16e+06""","=""4.9e-03""","=""6.2e-01""","=""-1.40""",C+,"=""2.0757728""","=""4.6827173""","=""4f13.(2F*<7/2>).6s.6p.(3P*<0>)""","=""(7/2,0)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""476.1236""","=""0.0005""","=""476.1239+""","=""700""","=""5.6e+06""","=""1.90e-02""","=""4.77e+00""","=""-0.516""",B+,"=""1.8933629""","=""4.497395""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)""","=""*""","=""15/2""",16,16,,"=""T6708""","=""L2006,L3475""",
"=""476.8298""","=""0.0005""","=""476.8294+""","=""5""","=""7.1e+05""","=""3.2e-03""","=""3.1e-01""","=""-1.71""",C+,"=""2.6236793""","=""5.2238588""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""5/2""","=""4f12.5d.6s.6p""","=""*""","=""7/2""",6,8,,"=""T6708""","=""L2006""",
"=""477.2674""","=""0.0005""","=""477.2671+""","=""4""","=""5.1e+04""","=""1.5e-04""","=""3.8e-02""","=""-2.61""",C+,"=""1.8933629""","=""4.4911575""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",16,14,,"=""T6708""","=""L2006""",
