obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""201.8551""","=""0.0010""","=""""","=""""","=""1300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""202.3242""","=""0.0010""","=""""","=""""","=""2500""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""203.2334""","=""0.0010""","=""203.23502""","=""0.00008""","=""1200""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""6.100533""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d3.(b 4F).6p""","=""s 3D*""","=""1""",5,3,,"=""""","=""L16323""",
"=""204.2796""","=""0.0010""","=""204.28171""","=""0.00005""","=""3600""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""6.0692755""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d3.(b 4P).6p""","=""y 5P*""","=""2""",5,5,,"=""""","=""L16323""",
"=""204.8497""","=""0.0010""","=""""","=""""","=""1200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""205.4198""","=""0.0010""","=""""","=""""","=""2300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""205.5958""","=""0.0010""","=""205.59555""","=""0.00009""","=""2300""","=""""","=""""","=""""","=""""",,"=""1.11384493""","=""7.144335""","=""5d2.6s2""","=""a 3P""","=""2""","=""""","=""5762*""","=""2""",5,5,,"=""""","=""L16323""",
"=""205.6818""","=""0.0010""","=""""","=""""","=""1200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""206.1139""","=""0.0010""","=""""","=""""","=""4600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""206.6380""","=""0.0010""","=""""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""206.9251""","=""0.0010""","=""""","=""""","=""3400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""207.2141""","=""0.0010""","=""207.21442""","=""0.00006""","=""3400""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.9833769""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d3.(b 4P).6p""","=""w 5D*""","=""1""",5,3,,"=""""","=""L16323""",
"=""207.3531""","=""0.0010""","=""207.35293""","=""0.00009""","=""2300""","=""""","=""""","=""""","=""""",,"=""0.29219054""","=""6.271571""","=""5d2.6s2""","=""a 3F""","=""3""","=""""","=""5058*""","=""3""",7,7,,"=""""","=""L16323""",
"=""207.6612""","=""0.0010""","=""""","=""""","=""3400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""207.7142""","=""0.0010""","=""""","=""""","=""2200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""207.9783""","=""0.0010""","=""207.98016""","=""0.00004""","=""1100""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.9613475""","=""5d2.6s2""","=""a 3F""","=""2""","=""""","=""4808*""","=""3""",5,7,,"=""""","=""L16323""",
"=""208.5254""","=""0.0010""","=""""","=""""","=""2200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""208.5854""","=""0.0010""","=""""","=""""","=""2200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""208.8094""","=""0.0010""","=""""","=""""","=""3300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""208.8334""","=""0.0010""","=""208.83477""","=""0.00006""","=""3300""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.9369518""","=""5d2.6s2""","=""a 3F""","=""2""","=""""","=""4788*""","=""3""",5,7,,"=""""","=""L16323""",
"=""209.0055""","=""0.0010""","=""""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""209.0225""","=""0.0010""","=""""","=""""","=""2200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""209.3885""","=""0.0010""","=""""","=""""","=""2200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""209.5206""","=""0.0010""","=""209.52101""","=""0.00006""","=""3200""","=""""","=""""","=""""","=""""",,"=""0.29219054""","=""6.2096971""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d3.(b 4F).6p""","=""t 3F*""","=""2""",7,5,,"=""""","=""L16323""",
"=""210.1257""","=""0.0010""","=""210.12754""","=""0.00008""","=""1100""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.9004259""","=""5d2.6s2""","=""a 3F""","=""2""","=""""","=""4759*""","=""3""",5,7,,"=""""","=""L16323""",
"=""210.5868""","=""0.0010""","=""""","=""""","=""2100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""210.6918""","=""0.0010""","=""""","=""""","=""4200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""210.8918""","=""0.0010""","=""""","=""""","=""3100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""210.9228""","=""0.0010""","=""""","=""""","=""2100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""210.9648""","=""0.0010""","=""210.96612""","=""0.00007""","=""3100""","=""""","=""""","=""""","=""""",,"=""0.56631535""","=""6.4432874""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d3.(b 4P).6p""","=""w 5D*""","=""4""",9,9,,"=""""","=""L16323""",
"=""211.1909""","=""0.0010""","=""""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""211.2139""","=""0.0010""","=""211.21493""","=""0.00007""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.8700491""","=""5d2.6s2""","=""a 3F""","=""2""","=""""","=""4735*""","=""2""",5,5,,"=""""","=""L16323""",
"=""211.2509""","=""0.0010""","=""""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""211.3809""","=""0.0010""","=""""","=""""","=""3100d""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""211.7470""","=""0.0010""","=""""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""211.9360""","=""0.0010""","=""""","=""""","=""6200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""212.0260""","=""0.0010""","=""""","=""""","=""2100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""212.3481""","=""0.0010""","=""212.35018""","=""0.00007""","=""3100""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""5.8386668""","=""5d2.6s2""","=""a 3F""","=""2""","=""""","=""4709*""","=""1""",5,3,,"=""""","=""L16323""",
"=""212.3991""","=""0.0010""","=""""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""212.8172""","=""0.0010""","=""""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""212.8842""","=""0.0010""","=""""","=""""","=""2000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""213.0753""","=""0.0010""","=""""","=""""","=""2000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""213.1653""","=""0.0010""","=""213.16683""","=""0.00006""","=""4000""","=""""","=""""","=""""","=""""",,"=""0.29219054""","=""6.1084894""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d3.(b 2G).6p""","=""y 3H*""","=""4""",7,9,,"=""""","=""L16323""",
"=""213.6324""","=""0.0010""","=""""","=""""","=""2000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""213.8214""","=""0.0010""","=""""","=""""","=""990""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""213.9244""","=""0.0010""","=""""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""214.0535""","=""0.0010""","=""""","=""""","=""980""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""214.3035""","=""0.0010""","=""""","=""""","=""4900""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
"=""214.5385""","=""0.0010""","=""""","=""""","=""980""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L16323""",
