obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""901.002""","=""901.013""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""4.127657""","=""5.503711""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L153""",
"=""901.220""","=""901.221""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""2.194667""","=""3.570403""","=""5d4.6s2""","=""3F2""","=""3""","=""5d4.6s.(6D).6p""","=""7D*""","=""4""",7,9,,"=""""","=""L153""",
"=""901.281""","=""901.284""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""4.743561""","=""6.119200""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""7D""","=""5""",9,11,,"=""""","=""L153""",
"=""902.032""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""902.081""","=""902.080""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""4.273218""","=""5.647644""","=""""","=""""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153,L416""",
"=""902.628""","=""902.609""","=""0.007""","=""1*""","=""""","=""""","=""""","=""""",,"=""2.246202""","=""3.619823""","=""5d5.(4G).6s""","=""5G""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""2""",5,5,,"=""""","=""L153""",
"=""902.628""","=""902.635""","=""0.007""","=""1*""","=""""","=""""","=""""","=""""",,"=""5.096311""","=""6.469892""","=""""","=""*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L153c23""",
"=""904.401""","=""904.421""","=""0.007""","=""0""","=""""","=""""","=""""","=""""",,"=""2.037223""","=""3.408091""","=""5d4.6s2""","=""3G""","=""4""","=""5d5.(6S).6p""","=""7P*""","=""3""",9,7,,"=""""","=""L153""",
"=""905.328""","=""905.340""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""3.374084""","=""4.743561""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L153""",
"=""907.247""","=""907.253""","=""0.007""","=""5""","=""2.04e+04""","=""3.52e-04""","=""5.26e-02""","=""-2.75""",D,"=""2.246202""","=""3.612790""","=""5d5.(4G).6s""","=""5G""","=""2""","=""5d4.6s.(6D).6p""","=""5F*""","=""3""",5,7,,"=""T4976""","=""L153""",
"=""908.482""","=""908.478""","=""0.007""","=""3""","=""2.0e+04""","=""1.5e-04""","=""2.2e-02""","=""-3.1""",D,"=""1.856810""","=""3.221556""","=""5d4.6s2""","=""3D""","=""2""","=""5d4.6s.(6D).6p""","=""5F*""","=""1""",5,3,,"=""T4976""","=""L153""",
"=""908.639""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""909.336""","=""909.331""","=""0.007""","=""2""","=""""","=""""","=""""","=""""",,"=""3.654970""","=""5.018436""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L153""",
"=""911.333""","=""""","=""""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""911.722""","=""911.717""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""3.520246""","=""4.880143""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""5""",13,11,,"=""""","=""L153""",
"=""914.221""","=""914.216""","=""0.007""","=""5""","=""""","=""""","=""""","=""""",,"=""2.352539""","=""3.708721""","=""5d5.(4G).6s""","=""5G""","=""3""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",7,7,,"=""""","=""L153""",
"=""916.040""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""916.141""","=""916.140""","=""0.007""","=""20""","=""1.2e+05""","=""1.5e-03""","=""2.3e-01""","=""-2.1""",D,"=""2.266491""","=""3.619823""","=""5d5.(6S).6s""","=""5S""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""2""",5,5,,"=""T4976""","=""L153""",
"=""916.398""","=""916.395""","=""0.007""","=""6""","=""""","=""""","=""""","=""""",,"=""3.330419""","=""4.683374""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L153""",
"=""916.790""","=""916.792""","=""0.007""","=""4""","=""""","=""""","=""""","=""""",,"=""4.804194""","=""6.156564""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""3""",9,7,,"=""""","=""L153""",
"=""916.830""","=""916.820""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""1.916797""","=""3.269126""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L153""",
"=""916.952""","=""916.955""","=""0.007""","=""4""","=""""","=""""","=""""","=""""",,"=""3.430702""","=""4.782832""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""0""",3,1,,"=""""","=""L153""",
"=""917.229""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""917.804""","=""917.798""","=""0.007""","=""2""","=""""","=""""","=""""","=""""",,"=""2.532729""","=""3.883617""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L153""",
"=""917.991""","=""917.990""","=""0.007""","=""7""","=""2.5e+04""","=""3.9e-04""","=""1.0e-01""","=""-2.5""",D,"=""2.786753""","=""4.137358""","=""5d5.(4D).6s""","=""5D""","=""4""","=""5d4.6s.(6D).6p""","=""5F*""","=""5""",9,11,,"=""T4976""","=""L153""",
"=""918.427""","=""918.420""","=""0.007""","=""4""","=""""","=""""","=""""","=""""",,"=""3.051360""","=""4.401334""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153""",
"=""918.498""","=""918.491""","=""0.007""","=""1""","=""""","=""""","=""""","=""""",,"=""2.908052""","=""4.257920""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L153c23""",
"=""920.560""","=""""","=""""","=""0""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""920.633""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""920.931""","=""920.926""","=""0.008""","=""3""","=""""","=""""","=""""","=""""",,"=""2.266491""","=""3.612790""","=""5d5.(6S).6s""","=""5S""","=""2""","=""5d4.6s.(6D).6p""","=""5F*""","=""3""",5,7,,"=""""","=""L153""",
"=""921.667""","=""921.661""","=""0.008""","=""2""","=""""","=""""","=""""","=""""",,"=""3.891750""","=""5.236976""","=""5d5.(4G).6s""","=""3G""","=""5""","=""""","=""*""","=""6""",11,13,,"=""""","=""L153""",
"=""922.967""","=""922.968""","=""0.008""","=""2""","=""""","=""""","=""""","=""""",,"=""2.601563""","=""3.944883""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L153""",
"=""923.695""","=""923.698""","=""0.008""","=""5""","=""""","=""""","=""""","=""""",,"=""3.496875""","=""4.839134""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L153""",
"=""924.882""","=""924.882""","=""0.008""","=""3w""","=""""","=""""","=""""","=""""",,"=""3.701382""","=""5.041923""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L153""",
"=""925.575""","=""925.574""","=""0.008""","=""1""","=""""","=""""","=""""","=""""",,"=""5.107918""","=""6.447457""","=""""","=""*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L153c23""",
"=""926.542""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""926.786""","=""926.781""","=""0.008""","=""2""","=""""","=""""","=""""","=""""",,"=""3.654970""","=""4.992763""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L153c23""",
"=""927.019""","=""927.016""","=""0.008""","=""3""","=""""","=""""","=""""","=""""",,"=""3.374084""","=""4.711538""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L153""",
"=""927.323""","=""927.317""","=""0.008""","=""1""","=""""","=""""","=""""","=""""",,"=""4.116475""","=""5.453496""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L153,L416""",
"=""928.536""","=""928.526""","=""0.008""","=""7""","=""""","=""""","=""""","=""""",,"=""1.916797""","=""3.252077""","=""5d4.6s2""","=""3D""","=""3""","=""5d5.(6S).6p""","=""7P*""","=""2""",7,5,,"=""""","=""L153""",
"=""929.464""","=""929.458""","=""0.008""","=""5""","=""""","=""""","=""""","=""""",,"=""2.458319""","=""3.792260""","=""5d5.(4P).6s""","=""5P""","=""3""","=""5d4.6s.(6D).6p""","=""5P*""","=""3""",7,7,,"=""""","=""L153""",
"=""932.040""","=""932.037""","=""0.008""","=""5w""","=""""","=""""","=""""","=""""",,"=""1.916797""","=""3.247047""","=""5d4.6s2""","=""3D""","=""3""","=""5d4.6s.(6D).6p""","=""7D*""","=""3""",7,7,,"=""""","=""L153""",
"=""932.288""","=""932.284""","=""0.008""","=""7""","=""""","=""""","=""""","=""""",,"=""4.430198""","=""5.760095""","=""""","=""*""","=""2""","=""5d4.6s.(6D).7s""","=""5D""","=""1""",5,3,,"=""""","=""L153""",
"=""934.364""","=""934.359""","=""0.008""","=""1""","=""""","=""""","=""""","=""""",,"=""2.966952""","=""4.293895""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L153c23""",
"=""934.532""","=""934.520""","=""0.008""","=""4""","=""""","=""""","=""""","=""""",,"=""3.051360""","=""4.378075""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L153""",
"=""935.629""","=""935.624""","=""0.008""","=""2""","=""""","=""""","=""""","=""""",,"=""4.069983""","=""5.395133""","=""""","=""""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L153,L416""",
"=""938.157""","=""938.149""","=""0.008""","=""5""","=""""","=""""","=""""","=""""",,"=""2.387137""","=""3.708721""","=""5d4.6s2""","=""3P2""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",5,7,,"=""""","=""L153""",
"=""938.393""","=""938.385""","=""0.008""","=""30""","=""1.53e+05""","=""1.57e-03""","=""4.37e-01""","=""-1.85""",D,"=""2.387469""","=""3.708721""","=""5d5.(4G).6s""","=""5G""","=""4""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",9,7,,"=""T4976""","=""L153""",
"=""939.257""","=""939.256""","=""0.008""","=""3""","=""""","=""""","=""""","=""""",,"=""5.018436""","=""6.338462""","=""""","=""*""","=""5""","=""5d4.6s.(6D).7s""","=""5D""","=""4""",11,9,,"=""""","=""L153""",
"=""940.161""","=""940.154""","=""0.008""","=""1""","=""""","=""""","=""""","=""""",,"=""5.457908""","=""6.776674""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L153""",
"=""940.516""","=""940.517""","=""0.008""","=""1""","=""""","=""""","=""""","=""""",,"=""4.127657""","=""5.445913""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""5""",13,11,,"=""""","=""L153c23""",
"=""948.784""","=""948.760""","=""0.008""","=""1*""","=""""","=""""","=""""","=""""",,"=""5.031659""","=""6.338462""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""4""",9,9,,"=""""","=""L153""",
"=""948.784""","=""948.788""","=""0.008""","=""1*""","=""""","=""""","=""""","=""""",,"=""4.116475""","=""5.423239""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""""","=""*""","=""5""",11,11,,"=""""","=""L153c23""",
"=""950.823""","=""950.820""","=""0.009""","=""2w""","=""""","=""""","=""""","=""""",,"=""2.833386""","=""4.137358""","=""5d4.6s2""","=""1G2""","=""4""","=""5d4.6s.(6D).6p""","=""5F*""","=""5""",9,11,,"=""""","=""L153""",
"=""951.023""","=""951.022""","=""0.009""","=""2""","=""""","=""""","=""""","=""""",,"=""3.500500""","=""4.804194""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L153""",
"=""951.546""","=""951.535""","=""0.009""","=""2""","=""""","=""""","=""""","=""""",,"=""2.501282""","=""3.804274""","=""5d4.6s2""","=""1S2""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L153c23""",
"=""951.849""","=""951.846""","=""0.009""","=""5*""","=""""","=""""","=""""","=""""",,"=""3.051360""","=""4.353926""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L153""",
"=""951.849""","=""951.847""","=""0.009""","=""5*""","=""""","=""""","=""""","=""""",,"=""4.304648""","=""5.607213""","=""""","=""*""","=""1""","=""5d4.6s.(6D).7s""","=""5D""","=""0""",3,1,,"=""""","=""L153""",
"=""952.111""","=""952.103""","=""0.009""","=""1*""","=""""","=""""","=""""","=""""",,"=""2.973488""","=""4.275702""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L153c23""",
"=""952.111""","=""952.125""","=""0.009""","=""1*""","=""""","=""""","=""""","=""""",,"=""5.145274""","=""6.447457""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L153""",
"=""953.228""","=""""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""953.386""","=""953.376""","=""0.009""","=""7*""","=""""","=""""","=""""","=""""",,"=""2.908052""","=""4.208527""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L153c23""",
"=""953.386""","=""953.392""","=""0.009""","=""7*""","=""""","=""""","=""""","=""""",,"=""5.169439""","=""6.469892""","=""""","=""*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L153c23""",
"=""954.120""","=""954.117""","=""0.009""","=""20""","=""""","=""""","=""""","=""""",,"=""2.786753""","=""4.086219""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L153""",
"=""959.337""","=""959.325""","=""0.009""","=""1""","=""""","=""""","=""""","=""""",,"=""2.966952""","=""4.259363""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153""",
"=""959.798""","=""959.795""","=""0.009""","=""3""","=""""","=""""","=""""","=""""",,"=""2.352539""","=""3.644317""","=""5d5.(4G).6s""","=""5G""","=""3""","=""5d4.6s.(6D).6p""","=""5P*""","=""2""",7,5,,"=""""","=""L153""",
"=""961.852""","=""961.855""","=""0.009""","=""1""","=""""","=""""","=""""","=""""",,"=""3.765921""","=""5.054932""","=""5d4.6s2""","=""3F1""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L153""",
"=""963.562""","=""963.558""","=""0.009""","=""1""","=""""","=""""","=""""","=""""",,"=""3.984349""","=""5.271082""","=""5d5.(4G).6s""","=""3G""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L153c23""",
"=""964.211""","=""964.201""","=""0.009""","=""1""","=""""","=""""","=""""","=""""",,"=""2.973488""","=""4.259363""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L153c23""",
"=""967.078""","=""967.075""","=""0.009""","=""1""","=""""","=""""","=""""","=""""",,"=""2.601563""","=""3.883617""","=""5d5.(4P).6s""","=""5P""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L153""",
"=""971.019""","=""971.013""","=""0.009""","=""1""","=""""","=""""","=""""","=""""",,"=""2.966952""","=""4.243806""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L153""",
"=""972.875""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""973.070""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L153""",
"=""973.898""","=""973.888""","=""0.009""","=""1*""","=""""","=""""","=""""","=""""",,"=""5.174373""","=""6.447457""","=""""","=""*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L153c23""",
"=""973.898""","=""973.918""","=""0.009""","=""1*""","=""""","=""""","=""""","=""""",,"=""4.487049""","=""5.760095""","=""""","=""*""","=""1""","=""5d4.6s.(6D).7s""","=""5D""","=""1""",3,3,,"=""""","=""L153""",
"=""975.065""","=""975.068""","=""0.009""","=""4""","=""""","=""""","=""""","=""""",,"=""2.532729""","=""3.804274""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L153""",
"=""975.795""","=""975.794""","=""0.009""","=""2""","=""""","=""""","=""""","=""""",,"=""3.652696""","=""4.923293""","=""5d5.(2I).6s""","=""3I""","=""7""","=""5d4.6s.(4H).6p""","=""5H*""","=""7""",15,15,,"=""""","=""L153""",
