property,value,unit,source,source_url,retrieved_at,notes,year,region
relative_supply_risk,4.3,índice 1–10,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
production_concentration,34.0,%,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
reserve_distribution,28.0,%,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
recycling_rate,>30,%,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
substitutability,Low,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
top_3_producers,1) Chile  2) Peru  3) China,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
top_3_reserve_holders,1) Chile  2) Peru  3) Australia,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
price_per_kg,6.0,USD/kg,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
uses,Most often used as an electrical conductor. Also used in the manufacture of water pipes. Its alloys are used in jewelry and for coins.,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/29/copper,2026-07-24T22:17:53+00:00,Dato secundario; el precio y los indicadores económicos requieren fecha y mercado para uso profesional.,,global
