obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""328.997""","=""""","=""328.99633+""","=""1100*""","=""""","=""""","=""""","=""""",,"=""1.4201599""","=""5.1887186""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4G).5p""","=""y 3F*""","=""3""",5,7,,"=""""","=""L3475""",
"=""329.1767""","=""""","=""329.17675+""","=""950""","=""5.4e+07""","=""6.3e-02""","=""4.8e+00""","=""-0.35""",B,"=""1.4702664""","=""5.2367595""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4D).5p""","=""w 5D*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""330.6514""","=""""","=""330.65140+""","=""320""","=""1.74e+07""","=""1.71e-02""","=""9.3e-01""","=""-1.067""",B+,"=""1.3351030""","=""5.0847983""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4G).5p""","=""y 5F*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
"=""330.6863""","=""""","=""330.68634+""","=""130""","=""3.06e+07""","=""6.4e-02""","=""4.9e+00""","=""-0.35""",B,"=""2.6803685""","=""6.4296675""","=""4d5.(4D).5s""","=""a 3D""","=""3""","=""""","=""47*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""330.8077""","=""""","=""330.80778+""","=""320""","=""1.25e+07""","=""2.65e-02""","=""2.02e+00""","=""-0.732""",B+,"=""1.4702664""","=""5.2181890""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4G).5p""","=""y 3F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""331.3287""","=""""","=""331.32872+""","=""95""","=""1.62e+07""","=""1.91e-02""","=""1.46e+00""","=""-0.87""",B,"=""2.0696564""","=""5.8116864""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d5.(2D).5p""","=""w 3F*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""332.4857""","=""""","=""332.48574+""","=""65""","=""4.0e+06""","=""6.7e-03""","=""8.0e-01""","=""-1.13""",B,"=""2.0810155""","=""5.8100235""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""4d5.(2I).5p""","=""z 3I*""","=""5""",11,11,,"=""T5293""","=""L10250""",
"=""332.4905""","=""""","=""332.49055+""","=""745""","=""2.82e+07""","=""3.6e-02""","=""3.6e+00""","=""-0.48""",B,"=""1.5307436""","=""5.2596977""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""w 5D*""","=""3""",9,7,,"=""T5293""","=""L10250""",
"=""332.6090""","=""""","=""332.60896+""","=""28""","=""2.26e+07""","=""2.25e-02""","=""1.23e+00""","=""-0.95""",B,"=""2.8362553""","=""6.5638819""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""65*""","=""1""",5,3,,"=""T5293""","=""L10250""",
"=""332.6630""","=""""","=""332.66303+""","=""360""","=""1.72e+07""","=""2.86e-02""","=""1.56e+00""","=""-0.845""",B+,"=""1.3351030""","=""5.0621237""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""332.8261""","=""""","=""332.82614+""","=""360""","=""2.88e+07""","=""1.44e-01""","=""1.57e+00""","=""-0.843""",B+,"=""1.3596041""","=""5.0847983""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d5.(4G).5p""","=""y 5F*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
"=""333.7525""","=""""","=""333.75249+""","=""130""","=""1.64e+07""","=""2.73e-02""","=""2.70e+00""","=""-0.61""",B,"=""2.9156714""","=""6.6305260""","=""4d4.5s2""","=""a 3F""","=""4""","=""""","=""75*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
"=""334.1123""","=""""","=""334.11237+""","=""240""","=""1.20e+07""","=""1.20e-02""","=""6.6e-01""","=""-1.221""",B+,"=""1.3351030""","=""5.0459563""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
"=""334.5692""","=""""","=""334.56912+""","=""1300""","=""6.04e+07""","=""1.69e-01""","=""5.58e+00""","=""-0.295""",B+,"=""1.3815291""","=""5.0873164""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4G).5p""","=""y 5F*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
"=""334.7790""","=""""","=""334.77905+""","=""30""","=""1.13e+07""","=""1.89e-02""","=""2.30e+00""","=""-0.68""",B,"=""3.1636939""","=""6.8671573""","=""4d5.(2I).5s""","=""a 3I""","=""5""","=""""","=""100*""","=""5""",11,11,,"=""T5293""","=""L10250""",
"=""334.7966""","=""""","=""334.79662+""","=""320""","=""2.72e+07""","=""4.57e-02""","=""1.51e+00""","=""-0.863""",B+,"=""1.3815291""","=""5.0847983""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4G).5p""","=""y 5F*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
"=""335.9083""","=""""","=""335.90836+""","=""1600""","=""7.59e+07""","=""1.80e-01""","=""9.9e+00""","=""-0.046""",A,"=""1.4201599""","=""5.1111725""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4G).5p""","=""y 5F*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""336.2332""","=""""","=""336.23331+""","=""250""","=""1.38e+07""","=""2.35e-02""","=""2.34e+00""","=""-0.675""",B+,"=""1.5307436""","=""5.2181890""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4G).5p""","=""y 3F*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
"=""336.4743""","=""""","=""336.47438+""","=""950""","=""2.74e+07""","=""6.5e-02""","=""3.6e+00""","=""-0.49""",B+,"=""1.3351030""","=""5.0199066""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""336.4837""","=""""","=""336.48379+""","=""64""","=""1.39e+07""","=""3.3e-02""","=""1.82e+00""","=""-0.78""",B,"=""2.5975747""","=""6.2822752""","=""4d5.(4D).5s""","=""a 3D""","=""2""","=""""","=""34*""","=""3""",5,7,,"=""T5293""","=""L10250""",
"=""337.4780""","=""""","=""337.47802+""","=""31""","=""2.03e+07""","=""3.5e-02""","=""1.15e+00""","=""-0.98""",B,"=""2.7579510""","=""6.4317961""","=""4d4.5s2""","=""a 3P""","=""1""","=""""","=""48*""","=""1""",3,3,,"=""T5293""","=""L10250""",
"=""337.6188""","=""""","=""337.61889+""","=""65""","=""1.38e+07""","=""2.35e-02""","=""1.83e+00""","=""-0.78""",B,"=""2.2601268""","=""5.9324391""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""""","=""22*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""337.6614""","=""""","=""337.66144+""","=""65""","=""1.57e+07""","=""3.4e-02""","=""2.68e+00""","=""-0.62""",B,"=""2.6803685""","=""6.3522180""","=""4d5.(4D).5s""","=""a 3D""","=""3""","=""""","=""41*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""337.9162""","=""""","=""337.91622+""","=""130""","=""1.88e+07""","=""1.07e-02""","=""3.6e-01""","=""-1.49""",B,"=""1.3815291""","=""5.0506101""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4P).5p""","=""x 5D*""","=""0""",3,1,,"=""T5293""","=""L10250,L3475""",
"=""337.9426""","=""""","=""337.94266+""","=""130""","=""3.75e+07""","=""6.4e-02""","=""9.3e+00""","=""-0.078""",B+,"=""3.1676583""","=""6.8364523""","=""4d5.(2I).5s""","=""a 3I""","=""6""","=""""","=""97*""","=""6""",13,13,,"=""T5293""","=""L10250,L3475""",
"=""338.0935""","=""""","=""338.09356+""","=""950""","=""4.11e+07""","=""7.0e-02""","=""3.92e+00""","=""-0.453""",B+,"=""1.4201599""","=""5.0873164""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4G).5p""","=""y 5F*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""338.3453""","=""""","=""338.34538+""","=""320""","=""2.66e+07""","=""4.57e-02""","=""1.53e+00""","=""-0.863""",B+,"=""1.3815291""","=""5.0459563""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
"=""338.5581""","=""""","=""338.55813+""","=""1900""","=""7.32e+07""","=""1.62e-01""","=""1.26e+01""","=""0.054""",A,"=""1.4702664""","=""5.1323907""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4G).5p""","=""y 5F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""338.6846""","=""""","=""338.68469+""","=""65""","=""3.3e+07""","=""6.9e-02""","=""7.0e+00""","=""-0.20""",B,"=""3.3024208""","=""6.9631767""","=""4d4.5s2""","=""a 1G""","=""4""","=""4d5.(2H).5p""","=""y 1H*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
"=""339.0766""","=""""","=""339.07665+""","=""160""","=""1.85e+07""","=""4.5e-02""","=""2.50e+00""","=""-0.65""",B,"=""2.2759148""","=""5.9324391""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""22*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""339.3140""","=""""","=""339.31395+""","=""95""","=""1.97e+07""","=""3.4e-02""","=""3.4e+00""","=""-0.51""",B,"=""2.6227474""","=""6.2767144""","=""4d5.(4G).5s""","=""a 3G""","=""4""","=""""","=""33*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
"=""339.4623""","=""""","=""339.46230+""","=""160""","=""2.08e+07""","=""3.6e-02""","=""4.4e+00""","=""-0.40""",B,"=""2.6462200""","=""6.2985902""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""""","=""37*""","=""5""",11,11,,"=""T5293""","=""L10250,L3475""",
"=""340.5312""","=""""","=""340.53116+""","=""640""","=""2.10e+07""","=""3.65e-02""","=""2.86e+00""","=""-0.593""",A,"=""1.4702664""","=""5.1111725""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4G).5p""","=""y 5F*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""340.6988""","=""""","=""340.69898+""","=""1300""","=""2.07e+06""","=""3.0e-03""","=""3.6e-01""","=""-1.49""",B,"=""2.0810155""","=""5.7201282""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""""","=""5*""","=""4""",11,9,,"=""T5293""","=""L10250,L3475""",
"=""341.4346""","=""""","=""341.43457+""","=""89""","=""1.25e+07""","=""2.19e-02""","=""2.70e+00""","=""-0.62""",B,"=""2.6462200""","=""6.2774926""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""4d4.5s.(4G).5p""","=""w 3G*""","=""5""",11,11,,"=""T5293""","=""L10250""",
"=""341.6252""","=""""","=""341.62514+""","=""35""","=""1.83e+07""","=""3.2e-02""","=""3.2e+00""","=""-0.54""",B,"=""3.3024208""","=""6.9316677""","=""4d4.5s2""","=""a 1G""","=""4""","=""""","=""102*""","=""4""",9,9,,"=""T5293""","=""L10250""",
"=""341.6593""","=""""","=""341.65925+""","=""25""","=""1.29e+07""","=""2.9e-02""","=""2.29e+00""","=""-0.69""",B,"=""3.3027831""","=""6.9316677""","=""4d5.(2D).5s""","=""b 3D""","=""3""","=""""","=""102*""","=""4""",7,9,,"=""T5293""","=""L10250""",
"=""341.6630""","=""""","=""341.66299+""","=""9""","=""5.2e+05""","=""5.5e-04""","=""3.1e-02""","=""-2.56""",B,"=""1.3351030""","=""4.9639479""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4D).5p""","=""z 3D*""","=""1""",5,3,,"=""T5293""","=""L10250""",
"=""341.7122""","=""""","=""341.71223+""","=""45""","=""2.45e+07""","=""5.2e-02""","=""5.3e+00""","=""-0.33""",B,"=""3.4424949""","=""7.0708169""","=""4d5.(2F).5s""","=""b 3F""","=""4""","=""""","=""107*""","=""5""",9,11,,"=""T5293""","=""L10250""",
"=""341.9502""","=""""","=""341.95025+""","=""240""","=""1.41e+07""","=""1.48e-02""","=""8.3e-01""","=""-1.131""",B+,"=""1.4201599""","=""5.0459563""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
"=""342.0666""","=""""","=""342.06662+""","=""32""","=""1.15e+07""","=""2.02e-02""","=""1.60e+00""","=""-0.85""",B,"=""2.9344678""","=""6.5590307""","=""4d4.5s2""","=""a 3F""","=""3""","=""""","=""64*""","=""3""",7,7,,"=""T5293""","=""L10250""",
"=""342.1017""","=""""","=""342.10167+""","=""250*""","=""3.3e+07""","=""5.7e-02""","=""3.2e+00""","=""-0.54""",B,"=""2.2759148""","=""5.9001063""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""19*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""342.1017""","=""""","=""342.10172+""","=""250*""","=""""","=""""","=""""","=""""",,"=""2.9875597""","=""6.6117507""","=""4d4.5s2""","=""a 3H""","=""4""","=""""","=""74*""","=""5""",9,11,,"=""""","=""L10250,L3475""",
"=""342.3244""","=""""","=""342.32442+""","=""10""","=""4.3e+06""","=""7.6e-03""","=""4.3e-01""","=""-1.42""",B,"=""2.8362553""","=""6.4580887""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""52*""","=""2""",5,5,,"=""T5293""","=""L10250""",
"=""342.3289""","=""""","=""342.32890+""","=""192""","=""2.52e+07""","=""4.4e-02""","=""4.5e+00""","=""-0.40""",B,"=""2.4992489""","=""6.1210348""","=""4d5.(4D).5s""","=""b 5D""","=""4""","=""""","=""29*""","=""4""",9,9,,"=""T5293""","=""L10250""",
"=""342.6115""","=""""","=""342.61156+""","=""95""","=""2.29e+07""","=""4.0e-02""","=""5.0e+00""","=""-0.35""",B,"=""3.1636939""","=""6.7824917""","=""4d5.(2I).5s""","=""a 3I""","=""5""","=""""","=""92*""","=""5""",11,11,,"=""T5293""","=""L10250,L3475""",
"=""342.8883""","=""""","=""342.88830+""","=""80""","=""4.1e+07""","=""8.5e-02""","=""1.06e+01""","=""-0.03""",B,"=""3.4376744""","=""7.0535516""","=""4d4.5s2""","=""b 3G""","=""5""","=""""","=""105*""","=""6""",11,13,,"=""T5293""","=""L10250,L3475""",
"=""343.5772""","=""""","=""343.57718+""","=""380""","=""1.75e+07""","=""3.09e-02""","=""2.45e+00""","=""-0.67""",B,"=""1.4702664""","=""5.0788937""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4D).5p""","=""z 3D*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""343.6432""","=""""","=""343.64319+""","=""320""","=""1.50e+08""","=""2.66e-01""","=""4.5e+01""","=""0.60""",B,"=""3.1787772""","=""6.7867113""","=""4d5.(2I).5s""","=""a 3I""","=""7""","=""""","=""93*""","=""7""",15,15,,"=""T5293""","=""L10250,L3475""",
"=""343.8198""","=""""","=""343.81983+""","=""640""","=""8.1e+07""","=""1.17e-01""","=""1.46e+01""","=""0.11""",B,"=""2.0810155""","=""5.6870960""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""4d4.5s.(4F).5p""","=""w 5F*""","=""4""",11,9,,"=""T5293""","=""L10250,L3475""",
"=""343.9855""","=""""","=""343.98550+""","=""250""","=""2.34e+07""","=""1.25e-01""","=""1.41e+00""","=""-0.90""",B,"=""1.3596041""","=""4.9639479""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d4.5s.(4D).5p""","=""z 3D*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
"=""344.2430""","=""""","=""344.24305+""","=""250""","=""8.02e+06""","=""1.43e-02""","=""1.45e+00""","=""-0.892""",A,"=""1.5307436""","=""5.1323907""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4G).5p""","=""y 5F*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
"=""344.2855""","=""""","=""344.28560+""","=""51""","=""1.34e+07""","=""1.43e-02""","=""8.1e-01""","=""-1.15""",B,"=""2.2759148""","=""5.8771168""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""17*""","=""1""",5,3,,"=""T5293""","=""L10250""",
"=""344.3650""","=""""","=""344.36501+""","=""65""","=""2.94e+07""","=""5.2e-02""","=""1.78e+00""","=""-0.80""",B,"=""2.4958407""","=""6.0962123""","=""4d5.(4D).5s""","=""b 5D""","=""1""","=""""","=""27*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
"=""344.4247""","=""""","=""344.42479+""","=""250""","=""9.1e+06""","=""2.26e-02""","=""1.28e+00""","=""-0.95""",B+,"=""1.4201599""","=""5.0199066""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""344.6022""","=""""","=""344.60219+""","=""95""","=""1.53e+07""","=""3.5e-02""","=""2.79e+00""","=""-0.61""",B,"=""2.5231413""","=""6.1210348""","=""4d5.(4D).5s""","=""b 5D""","=""3""","=""""","=""29*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""344.6244""","=""""","=""344.62446+""","=""190""","=""2.96e+07""","=""3.8e-02""","=""2.99e+00""","=""-0.58""",B,"=""2.0696564""","=""5.6673175""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d5.(4D).5p""","=""x 3F*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""344.6792""","=""""","=""344.67923+""","=""39""","=""1.14e+07""","=""2.03e-02""","=""2.07e+00""","=""-0.74""",B,"=""2.9875597""","=""6.5846490""","=""4d4.5s2""","=""a 3H""","=""4""","=""""","=""67.1*""","=""4""",9,9,,"=""T5293""","=""L10250""",
"=""344.8111""","=""""","=""344.81113+""","=""3200""","=""8.8e+07""","=""1.91e-01""","=""1.95e+01""","=""0.234""",B+,"=""1.5307436""","=""5.1264570""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4G).5p""","=""y 5F*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
"=""344.8277""","=""""","=""344.82768+""","=""27""","=""1.79e+07""","=""1.91e-02""","=""1.09e+00""","=""-1.02""",B,"=""2.8362553""","=""6.4317961""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""48*""","=""1""",5,3,,"=""T5293""","=""L10250""",
"=""345.0062""","=""""","=""345.00623+""","=""640""","=""1.52e+07""","=""3.5e-02""","=""2.77e+00""","=""-0.61""",B,"=""1.4702664""","=""5.0639464""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4D).5p""","=""z 3F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""345.0841""","=""""","=""345.08416+""","=""95""","=""1.65e+07""","=""4.1e-02""","=""2.34e+00""","=""-0.69""",B,"=""2.5145196""","=""6.1073880""","=""4d5.(4D).5s""","=""b 5D""","=""2""","=""""","=""28*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""345.3590""","=""""","=""345.35908+""","=""250""","=""2.48e+07""","=""4.4e-02""","=""3.5e+00""","=""-0.51""",B,"=""2.2601268""","=""5.8501351""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""4d5.(2D).5p""","=""w 3D*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""345.574""","=""""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""345.7140""","=""""","=""345.71402+""","=""190""","=""3.6e+07""","=""6.5e-02""","=""3.7e+00""","=""-0.49""",B,"=""2.2759148""","=""5.8622374""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""15*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""345.7376""","=""""","=""345.73762+""","=""950""","=""2.11e+06""","=""3.8e-03""","=""3.01e-01""","=""-1.58""",B,"=""0.0000000""","=""3.5860778""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d5.(6S).5p""","=""z 5P*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""346.1214""","=""""","=""346.12145+""","=""130*""","=""2.77e+07""","=""2.99e-02""","=""1.70e+00""","=""-0.83""",B,"=""2.2759148""","=""5.8580158""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""""","=""14*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
"=""346.122""","=""""","=""346.12099+""","=""130*""","=""""","=""""","=""""","=""""",,"=""3.2232590""","=""6.8053647""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""""","=""95*""","=""3""",9,7,,"=""""","=""L3475""",
"=""346.1768""","=""""","=""346.17683+""","=""640""","=""6.0e+07""","=""8.4e-02""","=""8.6e+00""","=""-0.12""",B,"=""2.0764526""","=""5.6579806""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""4d4.5s.(4F).5p""","=""w 5F*""","=""3""",9,7,,"=""T5293""","=""L10250,L3475""",
"=""346.6836""","=""""","=""346.68354+""","=""129""","=""1.0e+08""","=""6.0e-02""","=""2.06e+00""","=""-0.74""",B,"=""2.2911762""","=""5.8674694""","=""4d5.(4P).5s""","=""a 5P""","=""1""","=""""","=""16*""","=""0""",3,1,,"=""T5293""","=""L10250""",
"=""346.7179""","=""""","=""346.71787+""","=""39""","=""2.11e+07""","=""3.0e-02""","=""3.0e+00""","=""-0.57""",B,"=""3.2232590""","=""6.7991981""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""""","=""94*""","=""3""",9,7,,"=""T5293""","=""L10250""",
"=""346.7817""","=""""","=""346.78162+""","=""320*""","=""1.29e+06""","=""1.67e-03""","=""1.33e-01""","=""-1.93""",B,"=""0.0000000""","=""3.5752817""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d5.(6S).5p""","=""z 5P*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""346.782""","=""""","=""346.78241+""","=""320*""","=""""","=""""","=""""","=""""",,"=""3.1560966""","=""6.7313702""","=""4d6""","=""c 5D""","=""4""","=""""","=""87*""","=""4""",9,9,,"=""""","=""L3475""",
"=""346.8846""","=""""","=""346.88460+""","=""250""","=""2.63e+07""","=""6.6e-02""","=""3.8e+00""","=""-0.48""",B,"=""2.2759148""","=""5.8501351""","=""4d5.(4P).5s""","=""a 5P""","=""2""","=""4d5.(2D).5p""","=""w 3D*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""347.0211""","=""""","=""347.02117+""","=""320""","=""7.0e+07""","=""7.5e-02""","=""4.3e+00""","=""-0.42""",B,"=""2.0632311""","=""5.6360448""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""4d4.5s.(4F).5p""","=""w 5F*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
"=""347.0626""","=""""","=""347.06256+""","=""65""","=""1.51e+07""","=""3.1e-02""","=""4.7e+00""","=""-0.39""",B,"=""3.0777195""","=""6.6501071""","=""4d4.5s2""","=""a 3H""","=""6""","=""""","=""79*""","=""7""",13,15,,"=""T5293""","=""L10250,L3475""",
"=""347.1915""","=""""","=""347.19147+""","=""190""","=""2.91e+07""","=""8.8e-02""","=""3.01e+00""","=""-0.58""",B,"=""2.2911762""","=""5.8622374""","=""4d5.(4P).5s""","=""a 5P""","=""1""","=""""","=""15*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
"=""347.6024""","=""""","=""347.60239+""","=""190""","=""4.7e+07""","=""8.5e-02""","=""2.91e+00""","=""-0.59""",B,"=""2.2911762""","=""5.8580158""","=""4d5.(4P).5s""","=""a 5P""","=""1""","=""""","=""14*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
"=""348.0413""","=""""","=""348.04135+""","=""180""","=""2.26e+07""","=""2.94e-02""","=""2.35e+00""","=""-0.69""",B,"=""2.0696564""","=""5.6319975""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4F).5p""","=""w 5F*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""348.4666""","=""""","=""348.46664+""","=""95""","=""1.13e+07""","=""2.07e-02""","=""1.66e+00""","=""-0.84""",B,"=""2.2601268""","=""5.8181202""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""4d5.(2D).5p""","=""w 3F*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""348.4831""","=""""","=""348.48311+""","=""190""","=""1.41e+07""","=""1.84e-02""","=""1.47e+00""","=""-0.89""",B,"=""2.0696564""","=""5.6274816""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""""","=""4*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""348.6924""","=""""","=""348.69242+""","=""240""","=""6.1e+06""","=""1.86e-02""","=""6.4e-01""","=""-1.25""",B,"=""1.3815291""","=""4.9372187""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(4D).5p""","=""z 3P*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
"=""349.0427""","=""""","=""349.04275+""","=""60*""","=""3.3e+07""","=""6.0e-02""","=""4.8e+00""","=""-0.38""",B,"=""3.2470773""","=""6.7991981""","=""4d5.(4F).5s""","=""a 5F""","=""3""","=""""","=""94*""","=""3""",7,7,,"=""T5293""","=""L10250""",
"=""349.043""","=""""","=""349.04360+""","=""60*""","=""""","=""""","=""""","=""""",,"=""3.5014395""","=""7.0535516""","=""4d5.(2I).5s""","=""a 1I""","=""6""","=""""","=""105*""","=""6""",13,13,,"=""""","=""L3475,L10250""",
"=""350.5413""","=""""","=""350.54134+""","=""800""","=""8.1e+07""","=""1.91e-01""","=""1.54e+01""","=""0.13""",B,"=""2.2601268""","=""5.7970620""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""4d5.(4F).5p""","=""v 5F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
"=""350.6284""","=""""","=""350.62843+""","=""28""","=""4.2e+06""","=""6.3e-03""","=""8.1e-01""","=""-1.16""",B,"=""2.6462200""","=""6.1822767""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""4d4.5s.(4G).5p""","=""w 3G*""","=""4""",11,9,,"=""T5293""","=""L10250""",
"=""350.6316""","=""""","=""350.63158+""","=""186""","=""2.25e+07""","=""5.3e-02""","=""4.3e+00""","=""-0.43""",B,"=""2.5231413""","=""6.0591662""","=""4d5.(4D).5s""","=""b 5D""","=""3""","=""4d4.5s.(4D).5p""","=""v 5D*""","=""4""",7,9,,"=""T5293""","=""L10250""",
"=""350.9116""","=""""","=""350.91164+""","=""560""","=""1.59e+07""","=""2.93e-02""","=""3.04e+00""","=""-0.58""",B,"=""1.5307436""","=""5.0639464""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(4D).5p""","=""z 3F*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
"=""351.1779""","=""""","=""351.17799+""","=""100""","=""4.8e+07""","=""8.8e-02""","=""1.32e+01""","=""0.06""",B,"=""3.5014395""","=""7.0319626""","=""4d5.(2I).5s""","=""a 1I""","=""6""","=""4d5.(2H).5p""","=""z 1I*""","=""6""",13,13,,"=""T5293""","=""L10250,L3475""",
