obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""315.6104""","=""""","=""315.61035+""","=""50""","=""2.75e+07""","=""4.1e-02""","=""2.99e+00""","=""-0.54""",B,"=""2.9344678""","=""6.8628624""","=""4d4.5s2""","=""a 3F""","=""3""","=""""","=""99*""","=""3""",7,7,,"=""T5293""","=""L10250""",
"=""315.9080""","=""""","=""315.90800+""","=""6000""","=""4.63e+07""","=""6.9e-02""","=""5.04e+00""","=""-0.314""",B+,"=""0.0000000""","=""3.9246933""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d4.5s.(6D).5p""","=""z 7D*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""316.5448""","=""""","=""316.54482+""","=""120""","=""1.0e+07""","=""1.50e-02""","=""7.8e-01""","=""-1.12""",B,"=""1.4201599""","=""5.3369575""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4D).5p""","=""x 5F*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""317.1260""","=""""","=""317.12602+""","=""8700""","=""1.37e+08""","=""2.06e-01""","=""1.51e+01""","=""0.160""",B+,"=""0.0000000""","=""3.9096193""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d4.5s.(6D).5p""","=""y 7P*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""317.2301""","=""""","=""317.23006+""","=""55""","=""2.03e+07""","=""4.3e-02""","=""2.24e+00""","=""-0.67""",B,"=""2.5975747""","=""6.5059117""","=""4d5.(4D).5s""","=""a 3D""","=""2""","=""""","=""59.1*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""317.6510""","=""""","=""317.65094+""","=""167""","=""8.4e+07""","=""1.08e-01""","=""1.46e+01""","=""0.15""",B,"=""3.1676583""","=""7.0708169""","=""4d5.(2I).5s""","=""a 3I""","=""6""","=""""","=""107*""","=""5""",13,11,,"=""T5293""","=""L10250""",
"=""318.0702""","=""""","=""318.07018+""","=""95""","=""2.33e+07""","=""4.2e-02""","=""4.8e+00""","=""-0.34""",B,"=""2.6462200""","=""6.5442339""","=""4d5.(4G).5s""","=""a 3G""","=""5""","=""""","=""63.1*""","=""6""",11,13,,"=""T5293""","=""L10250,L3475""",
"=""318.3954""","=""""","=""318.39542+""","=""370""","=""4.0e+07""","=""4.9e-02""","=""5.7e+00""","=""-0.26""",B,"=""2.0810155""","=""5.9750476""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""4d4.5s.(4D).5p""","=""u 5F*""","=""4""",11,9,,"=""T5293""","=""L10250,L3475""",
"=""318.5497""","=""""","=""318.54970+""","=""120""","=""2.77e+07""","=""3.01e-02""","=""2.21e+00""","=""-0.68""",B,"=""2.0696564""","=""5.9618026""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4D).5p""","=""v 3D*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
"=""318.602""","=""""","=""318.60221+""","=""370*""","=""""","=""""","=""""","=""""",,"=""2.0632311""","=""5.9547358""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""4d4.5s.(4D).5p""","=""u 5F*""","=""3""",5,7,,"=""""","=""L3475""",
