obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""580.495""","=""580.4929""","=""9""","=""""","=""""","=""""","=""""",,"=""3.201371""","=""5.337215""","=""4d7.5s2""","=""b 2G""","=""9/2""","=""""","=""16*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""580.852""","=""580.8503""","=""40""","=""1.1e+06""","=""6.e-03""","=""9.e-01""","=""-1.3""",E,"=""1.833462""","=""3.967992""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 2F*""","=""7/2""",8,8,,"=""T5181""","=""L3475""",
"=""582.345""","=""582.3450""","=""6""","=""""","=""""","=""""","=""""",,"=""1.732646""","=""3.861696""","=""4d8.(3P).5s""","=""a 2P""","=""1/2""","=""4d8.(3F).5p""","=""z 4D*""","=""1/2""",2,2,,"=""""","=""L3475""",
"=""583.320""","=""583.3193""","=""35""","=""""","=""""","=""""","=""""",,"=""1.577460""","=""3.702954""","=""4d7.5s2""","=""b 4F""","=""9/2""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""590.895""","=""590.8929""","=""7*""","=""""","=""""","=""""","=""""",,"=""2.100726""","=""4.198978""","=""4d7.5s2""","=""b 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 2D*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""590.895""","=""590.9051""","=""7*""","=""""","=""""","=""""","=""""",,"=""1.998715""","=""4.096923""","=""4d8.(1G).5s""","=""a 2G""","=""7/2""","=""4d8.(3F).5p""","=""z 2G*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""592.018""","=""592.0169""","=""9""","=""""","=""""","=""""","=""""",,"=""1.483871""","=""3.578139""","=""4d8.(3P).5s""","=""a 2P""","=""3/2""","=""4d8.(3F).5p""","=""z 4D*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""594.311""","=""594.3070""","=""7""","=""""","=""""","=""""","=""""",,"=""3.856126""","=""5.942323""","=""4d8.(3F).5p""","=""z 4G*""","=""7/2""","=""""","=""7""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""598.526""","=""598.5232""","=""130""","=""2.1e+06""","=""1.1e-02""","=""2.2e+00""","=""-0.95""",D,"=""1.577460""","=""3.648962""","=""4d7.5s2""","=""b 4F""","=""9/2""","=""4d8.(3F).5p""","=""z 4F*""","=""9/2""",10,10,,"=""T5181""","=""L3475""",
"=""599.285""","=""599.2822""","=""9""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.902341""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4F*""","=""5/2""",8,6,,"=""""","=""L3475""",
