obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""614.813""","=""614.8131+""","=""23""","=""7.7e+06""","=""5.3e-02""","=""9.7e+00""","=""-0.319""",B+,"=""0.8028646""","=""2.8194806""","=""4f.(2F*) .5d2.(3F).6s (2F)""","=""*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""614.954""","=""614.9545+""","=""19""","=""3.57e+06""","=""2.02e-02""","=""6.1e+00""","=""-0.518""",B+,"=""0.7193697""","=""2.7355220""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5H*""","=""7""","=""4f.(2F*).5d2.(3F) (4H*).6p""","=""5I""","=""7""",15,15,,"=""T8748""","=""L3475""",
"=""615.342""","=""615.3425+""","=""23""","=""""","=""""","=""""","=""""",,"=""0.5158094""","=""2.5306903""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""3G*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L3475""",
"=""616.152""","=""616.1533+""","=""19""","=""""","=""""","=""""","=""""",,"=""0.9565674""","=""2.9687969""","=""4f.(2F*) .5d2.(3F).6s (4F)?""","=""*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L3475""",
"=""616.385""","=""616.3837+""","=""19""","=""""","=""""","=""""","=""""",,"=""0.3022275""","=""2.3137050""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5H*""","=""4""","=""4f2.(3H).5d (4F).6s""","=""""","=""5""",9,11,,"=""""","=""L3475""",
"=""616.716""","=""616.7103+""","=""19bl""","=""""","=""""","=""""","=""""",,"=""1.1686167""","=""3.1790290""","=""4f.(2F*) .5d2.(3P).6s (4P)""","=""3D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3475""",
"=""617.699""","=""617.6993+""","=""19""","=""""","=""""","=""""","=""""",,"=""1.5332920""","=""3.5404855""","=""4f2.(3H).5d (4K).6s""","=""5K""","=""5""","=""""","=""*""","=""5""",11,11,,"=""""","=""L3475""",
"=""618.788""","=""618.7882+""","=""35""","=""""","=""""","=""""","=""""",,"=""1.0415578""","=""3.0452190""","=""4f.(2F*) .5d2.(3F).6s (2F)""","=""*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L3475""",
"=""618.968""","=""618.9692+""","=""15""","=""""","=""""","=""""","=""""",,"=""0.0283737""","=""2.0314490""","=""4f.5d.6s2""","=""3F*""","=""2""","=""4f.5d.(3F*).6s.6p.(3P*)""","=""""","=""3""",5,7,,"=""""","=""L3475""",
"=""619.694""","=""619.6954+""","=""15""","=""""","=""""","=""""","=""""",,"=""0.3980616""","=""2.3987895""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""5""","=""4f2.(3H).5d (4H).6s""","=""""","=""6""",11,13,,"=""""","=""L3475""",
"=""619.724""","=""619.7253+""","=""19""","=""2.89e+06""","=""1.66e-02""","=""4.4e+00""","=""-0.66""",B+,"=""0.5524433""","=""2.5530748""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""6""","=""4f.(2F*).5d2.(3F) (4I*).6p""","=""5K""","=""6""",13,13,,"=""T8748""","=""L3475""",
"=""619.976""","=""619.9769+""","=""19""","=""""","=""""","=""""","=""""",,"=""1.6868050""","=""3.6866248""","=""4f2.(3H).5d (4I).6s""","=""5I""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L3475""",
"=""621.070""","=""621.0703+""","=""35""","=""1.79e+07""","=""1.19e-01""","=""3.17e+01""","=""0.191""",B+,"=""1.1571720""","=""3.1534709""","=""4f.(2F*) .5d2.(3F).6s (2F)""","=""3I*""","=""6""","=""4f.(2F*).5d2.(3F) (4H*).6p?""","=""""","=""7""",13,15,,"=""T8748""","=""L3475""",
"=""621.854""","=""621.8559+""","=""11i""","=""""","=""""","=""""","=""""",,"=""0.5477148""","=""2.5414920""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""5""","=""4f2.(3F).5d (4F).6s""","=""""","=""5""",11,11,,"=""""","=""L3475""",
"=""623.066""","=""623.0675+""","=""35""","=""""","=""""","=""""","=""""",,"=""0.1722067""","=""2.1621066""","=""4f.5d.6s2""","=""3G*""","=""3""","=""4f.5d.(3F*).6s.6p.(3P*)""","=""""","=""4""",7,9,,"=""""","=""L3475""",
"=""623.085""","=""623.0906+""","=""19""","=""""","=""""","=""""","=""""",,"=""1.5961540""","=""3.5859802""","=""""","=""*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3475""",
"=""623.918""","=""623.9186+""","=""28""","=""2.84e+06""","=""1.66e-02""","=""3.74e+00""","=""-0.739""",B+,"=""0.4666775""","=""2.4538630""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""5""","=""4f.(2F*).5d2.(3F) (4I*).6p""","=""5K""","=""5""",11,11,,"=""T8748""","=""L3475""",
"=""624.044""","=""624.0438+""","=""13""","=""1.78e+06""","=""1.23e-02""","=""2.78e+00""","=""-0.869""",B+,"=""0.3980616""","=""2.3848482""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""5""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""6""",11,13,,"=""T8748""","=""L3475""",
"=""624.360""","=""624.3597+""","=""11""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""1.9857816""","=""4f.5d.6s2""","=""1G*""","=""4""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""5""",9,11,,"=""""","=""L3475""",
"=""624.368""","=""624.3683+""","=""3""","=""""","=""""","=""""","=""""",,"=""0.5909487""","=""2.5767028""","=""4f.5d.6s2""","=""3D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3475""",
"=""624.464""","=""624.4626+""","=""13""","=""""","=""""","=""""","=""""",,"=""0.9542084""","=""2.9396629""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""6""","=""""","=""""","=""6""",13,13,,"=""""","=""L3475""",
"=""625.538""","=""625.5382+""","=""15""","=""1.25e+06""","=""7.3e-03""","=""1.66e+00""","=""-1.093""",B+,"=""0.2738386""","=""2.2558789""","=""4f.5d.6s2""","=""3H*""","=""5""","=""4f.5d.(3G*).6s.6p.(3P*)""","=""""","=""5""",11,11,,"=""T8748""","=""L3475""",
