obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""225.973""","=""0.002""","=""225.97338""","=""0.00003""","=""970000""","=""1.28e+07""","=""9.80e-03""","=""3.64e-01""","=""-1.310""",,"=""0.0000000""","=""5.4866727""","=""5p4""","=""3P""","=""2""","=""5p3.(4S*).6s""","=""5S*""","=""2""",5,5,,"=""T7227""","=""L3475,L5813,L5704,L17457,L7363""",
"=""226.623""","=""0.003""","=""226.62371""","=""0.00003""","=""140000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""6.7799378""","=""5p4""","=""1D""","=""2""","=""5p3.(2D*).6s""","=""3D*""","=""1""",5,3,,"=""""","=""L5813,L17457,L7363,L3682""",
"=""238.401""","=""0.003""","=""238.40037""","=""0.00003""","=""930000""","=""4.04e+07""","=""1.03e-01""","=""8.11e-01""","=""-0.986""",,"=""0.5835310""","=""5.7842023""","=""5p4""","=""3P""","=""0""","=""5p3.(4S*).6s""","=""3S*""","=""1""",1,3,,"=""T7227""","=""L5813,L3475,L17457,L7363""",
"=""238.652""","=""0.003""","=""238.65194""","=""0.00003""","=""1200000""","=""8.08e+07""","=""6.90e-02""","=""1.63e+00""","=""-0.684""",,"=""0.5890132""","=""5.7842023""","=""5p4""","=""3P""","=""1""","=""5p3.(4S*).6s""","=""3S*""","=""1""",3,3,,"=""T7227""","=""L5813,L3475,L17457,L7363""",
"=""253.150""","=""0.003""","=""253.14989""","=""0.00004""","=""190000""","=""1.09e+06""","=""1.75e-03""","=""4.36e-02""","=""-2.281""",,"=""0.5890132""","=""5.4866727""","=""5p4""","=""3P""","=""1""","=""5p3.(4S*).6s""","=""5S*""","=""2""",3,5,,"=""T7227""","=""L5813,L3475,L17457,L7363""",
"=""267.793""","=""0.002""","=""""","=""""","=""98000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475,L17457""",
"=""277.047""","=""0.002""","=""277.04775""","=""0.00004""","=""57000""","=""""","=""""","=""""","=""""",,"=""1.3090099""","=""5.7842023""","=""5p4""","=""1D""","=""2""","=""5p3.(4S*).6s""","=""3S*""","=""1""",5,3,,"=""""","=""L7363,L17457,L5813,L3682""",
"=""317.607""","=""0.003""","=""317.60658""","=""0.00006""","=""3400""","=""""","=""""","=""""","=""""",,"=""2.8762340""","=""6.7799378""","=""5p4""","=""1S""","=""0""","=""5p3.(2D*).6s""","=""3D*""","=""1""",1,3,,"=""""","=""L7363,L3475,L5813,L17457""",
"=""508.430""","=""0.003""","=""508.42757""","=""0.00018""","=""130""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""7.9252541""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).7p""","=""3P""","=""2""",5,5,,"=""""","=""L5813,L3315,L3682""",
"=""515.020""","=""0.003""","=""515.01410""","=""0.00019""","=""130""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""7.8940670""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).7p""","=""b 5P""","=""1""",5,3,,"=""""","=""L5813,L3315,L3682""",
