obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""333.312""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.293""","=""""","=""1300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.467""","=""""","=""1300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.789""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.002""","=""""","=""1700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.048""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.570""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.800""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.939""","=""""","=""1700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""336.793""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.230""","=""""","=""170""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.589""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""338.138""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""338.183""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.331""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.690""","=""""","=""170""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.038""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.639""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.711""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.936""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""341.695""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.474""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.683""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.843""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""343.002""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""346.480""","=""""","=""170""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""346.685""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""347.043""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""347.218""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""347.401""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""347.969""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""349.203""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""349.881""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""349.963""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""350.896""","=""""","=""460""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""352.107""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""353.631""","=""""","=""2000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""353.849""","=""""","=""1300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""354.503""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""354.566""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""355.146""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""355.554""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""355.568""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""356.452""","=""""","=""630""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""356.464""","=""""","=""630""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""357.687""","=""""","=""1500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""357.874""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""358.129""","=""""","=""5000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""358.599""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""359.013""","=""""","=""750""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""359.038""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""359.500""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""360.359""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""362.206""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""364.037""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""365.089""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""365.185""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""366.141""","=""""","=""630""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""366.574""","=""""","=""900""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""367.005""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""367.583""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""369.890""","=""""","=""1500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""371.240""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""371.407""","=""""","=""3300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""371.805""","=""""","=""480""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""372.730""","=""""","=""2700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""373.948""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""374.086""","=""""","=""2700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""374.284""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""374.345""","=""""","=""1700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""375.425""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""375.684""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.456""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.615""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.720""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""377.292""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""378.208""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""378.814""","=""""","=""1700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.123""","=""""","=""1300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.229""","=""""","=""3500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.920""","=""""","=""2700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""380.238""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""380.400""","=""""","=""2700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""380.496""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""380.582""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""381.157""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""381.211""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""381.659""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""382.023""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""382.597""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""383.627""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""383.754""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""384.699""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""386.004""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""386.448""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""386.902""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""387.866""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""387.992""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.424""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.654""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.678""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.717""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""389.240""","=""""","=""580""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""391.008""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""391.581""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""392.131""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""393.855""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""394.479""","=""""","=""520""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.681""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.721""","=""""","=""910bl""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""397.297""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""403.366""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.067""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.009""","=""""","=""16000c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.066""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.194""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.941""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""408.088""","=""""","=""12000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""408.601""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""410.156""","=""""","=""440""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""410.208""","=""""","=""6700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""411.806""","=""""","=""310""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""412.497""","=""""","=""5300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""413.059""","=""""","=""670""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""413.109""","=""""","=""770""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""413.827""","=""""","=""2300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""414.061""","=""""","=""440""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""414.088""","=""""","=""2700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""414.438""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""415.129""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""415.375""","=""""","=""4400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""416.464""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""416.483""","=""""","=""4400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""416.583""","=""""","=""4000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""416.930""","=""""","=""3500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""418.562""","=""""","=""310""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""419.206""","=""""","=""1200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""419.325""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""419.627""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""419.684""","=""""","=""1300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""419.969""","=""""","=""310""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""420.270""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""420.649""","=""""","=""870""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.592""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.913""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""423.034""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""425.664""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""426.325""","=""""","=""770""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""426.722""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""427.189""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""428.820""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""430.081""","=""""","=""580""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""430.220""","=""""","=""580""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""431.077""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""431.248""","=""""","=""390""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""431.366""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""432.755""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""432.860""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""433.259""","=""""","=""390""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""434.404""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""434.987""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""435.025""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""435.279""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""436.966""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""437.919""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""438.959""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""439.392""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""441.145""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""442.068""","=""""","=""190""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""443.847""","=""""","=""230c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""444.843""","=""""","=""290""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""445.805""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""445.867""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""447.096""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""447.254""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""447.379""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""450.430""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""452.468""","=""""","=""530""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
