property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Simple Hexagonal,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
space_group,P63/mmc,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 194.,Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
lattice_constants,"346.81, 346.81, 1124.1",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
lattice_angles,"π/2, π/2, 2 π/3",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
thermal_conductivity,10,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
magnetic_susceptibility_mass,5.15e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
magnetic_susceptibility_molar,1.251e-08,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
magnetic_susceptibility_volume,0.000704,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
superconducting_point,0.6,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Americium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Am-reference,elemento puro · condiciones de referencia,Simple Hexagonal,P63/mmc,346.81,346.81,1124.1,π/2,π/2,2 π/3
