Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f7.7s2""","=""8S*""","=""7/2""",8,"=""""","=""0""","=""""","=""0""","=""L15992"""
"=""Am II (5f7.7s 9S*<4>)""","=""Limit""","=""---""",,"=""""","=""48182""","=""""","=""2""","=""L15992"""
