obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""334.483""","=""""","=""100l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""339.598""","=""""","=""200l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""344.718""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""351.113""","=""""","=""5000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""353.196""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""357.018""","=""""","=""5000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""360.444""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""367.417""","=""""","=""5000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""402.139""","=""""","=""100s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""403.695""","=""""","=""100s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""414.213""","=""""","=""100s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""426.675""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""429.047""","=""""","=""5000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""465.042""","=""""","=""100l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""465.475""","=""""","=""100l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""466.410""","=""""","=""5000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""468.296""","=""""","=""2000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""470.812""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""499.218""","=""""","=""200l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""500.160""","=""""","=""100s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""540.412""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""542.621""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""559.968""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""605.632""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""640.688""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""654.597""","=""""","=""500l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
"=""695.750""","=""""","=""500s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3500""",
