obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""399.250""","=""399.249+""","=""30""","=""""","=""""","=""""","=""""",,"=""5.7249678""","=""8.83040""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",6,6,,"=""""","=""L1336""",
"=""401.370""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""404.207""","=""404.20718+""","=""400""","=""""","=""""","=""""","=""""",,"=""2.6576250""","=""5.7249678""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""",4,6,,"=""""","=""L1336""",
"=""406.622""","=""406.626+""","=""700""","=""8.5e+07""","=""4.20e-01""","=""1.12e+01""","=""-0.076""",B+,"=""4.6319246""","=""7.68102""","=""5d10.6p""","=""2P*""","=""1/2""","=""5d10.6d""","=""2D""","=""3/2""",2,4,,"=""T4253,T7183,T7776""","=""L1336""",
"=""408.525""","=""408.525+""","=""100""","=""""","=""""","=""""","=""""",,"=""5.7249678""","=""8.75989""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",6,4,,"=""""","=""L1336""",
"=""410.286""","=""410.291+""","=""30""","=""""","=""""","=""""","=""""",,"=""5.8281789""","=""8.85004""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d10.9d""","=""2D""","=""5/2""",4,6,,"=""""","=""L1336""",
"=""412.975""","=""412.975+""","=""30""","=""""","=""""","=""""","=""""",,"=""5.8281789""","=""8.83040""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",4,6,,"=""""","=""L1336""",
"=""420.231""","=""420.233+""","=""30""","=""""","=""""","=""""","=""""",,"=""5.7249678""","=""8.67534""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d10.8d""","=""2D""","=""3/2""",6,4,,"=""""","=""L1336""",
"=""422.907""","=""422.907+""","=""30w""","=""""","=""""","=""""","=""""",,"=""5.8281789""","=""8.75989""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",4,4,,"=""""","=""L1336""",
"=""424.299""","=""424.308+""","=""100""","=""""","=""""","=""""","=""""",,"=""5.1050014""","=""8.02703""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.8s""","=""2S""","=""1/2""",4,2,,"=""""","=""L1336""",
"=""431.632""","=""431.632+""","=""200""","=""""","=""""","=""""","=""""",,"=""5.6458926""","=""8.51835""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",8,6,,"=""""","=""L1336""",
"=""443.852""","=""443.850+""","=""120w""","=""""","=""""","=""""","=""""",,"=""5.7249678""","=""8.51835""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",6,6,,"=""""","=""L1336""",
"=""448.951""","=""448.948+""","=""250""","=""""","=""""","=""""","=""""",,"=""5.6458926""","=""8.40755""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",8,8,,"=""""","=""L1336""",
"=""460.880""","=""460.879+""","=""900w""","=""""","=""""","=""""","=""""",,"=""5.8281789""","=""8.51835""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",4,6,,"=""""","=""L1336""",
"=""462.185""","=""462.182+""","=""100w""","=""""","=""""","=""""","=""""",,"=""5.7249678""","=""8.40755""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",6,8,,"=""""","=""L1336""",
"=""466.523""","=""""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""466.528""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""469.600""","=""469.607+""","=""10""","=""""","=""""","=""""","=""""",,"=""5.7249678""","=""8.36514""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d10.7d""","=""2D""","=""3/2""",6,4,,"=""""","=""L1336""",
"=""479.392""","=""479.407+""","=""500""","=""8.9e+07""","=""4.6e-01""","=""2.90e+01""","=""0.26""",B+,"=""5.1050014""","=""7.69120""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.6d""","=""2D""","=""5/2""",4,6,,"=""T4253,T7183,T7776""","=""L1336""",
"=""481.294""","=""481.302+""","=""100""","=""1.57e+07""","=""5.5e-02""","=""3.46e+00""","=""-0.660""",B+,"=""5.1050014""","=""7.68102""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.6d""","=""2D""","=""3/2""",4,4,,"=""T7183,T7776""","=""L1336""",
"=""482.431""","=""482.4313+""","=""10""","=""""","=""""","=""""","=""""",,"=""2.6576250""","=""5.2276115""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4P*""","=""5/2""",4,6,,"=""""","=""L1336""",
"=""495.220""","=""495.219+""","=""30w""","=""""","=""""","=""""","=""""",,"=""6.3267765""","=""8.83040""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",8,6,,"=""""","=""L1336""",
"=""506.600""","=""506.6004+""","=""30""","=""5.2e+05""","=""2.0e-03""","=""1.3e-01""","=""-2.10""",D,"=""2.6576250""","=""5.1050014""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d10.6p""","=""2P*""","=""3/2""",4,4,,"=""T4060""","=""L1336""",
"=""511.026""","=""511.04+""","=""30w""","=""""","=""""","=""""","=""""",,"=""6.40427""","=""8.83040""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",6,6,,"=""""","=""L1336""",
"=""514.887""","=""514.89+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.3519002""","=""8.75989""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""2D*""","=""3/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",4,4,,"=""""","=""L1336""",
"=""523.172""","=""523.17+""","=""300""","=""""","=""""","=""""","=""""",,"=""6.0376767""","=""8.40755""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4F*""","=""9/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",10,8,,"=""""","=""L1336""",
"=""526.322""","=""526.33+""","=""100w""","=""""","=""""","=""""","=""""",,"=""6.40427""","=""8.75989""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",6,4,,"=""""","=""L1336""",
"=""565.734""","=""565.73+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.3267765""","=""8.51835""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",8,6,,"=""""","=""L1336""",
"=""572.295""","=""572.29+""","=""100w""","=""""","=""""","=""""","=""""",,"=""6.3519002""","=""8.51835""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""2D*""","=""3/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",4,6,,"=""""","=""L1336""",
"=""583.899""","=""583.8992+""","=""300""","=""2.95e+07""","=""1.51e-01""","=""5.8e+00""","=""-0.520""",B+,"=""4.6319246""","=""6.7553082""","=""5d10.6p""","=""2P*""","=""1/2""","=""5d10.7s""","=""2S""","=""1/2""",2,2,,"=""T7183,T7776""","=""L1336""",
"=""586.456""","=""586.47+""","=""100w""","=""""","=""""","=""""","=""""",,"=""6.40427""","=""8.51835""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",6,6,,"=""""","=""L1336""",
"=""595.861""","=""595.86+""","=""300w""","=""""","=""""","=""""","=""""",,"=""6.3267765""","=""8.40755""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",8,8,,"=""""","=""L1336""",
"=""596.433""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""627.991""","=""627.9908+""","=""600""","=""3.4e+06""","=""1.00e-02""","=""8.3e-01""","=""-1.40""",D,"=""2.6576250""","=""4.6319246""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d10.6p""","=""2P*""","=""1/2""",4,2,,"=""T4060""","=""L1336""",
"=""656.449""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""665.473""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""751.280""","=""751.2797+""","=""600""","=""4.24e+07""","=""1.80e-01""","=""1.78e+01""","=""-0.144""",B+,"=""5.1050014""","=""6.7553082""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.7s""","=""2S""","=""1/2""",4,2,,"=""T7183,T7776""","=""L1336""",
"=""814.730""","=""""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
"=""925.682""","=""""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1336""",
