obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""383.33733""","=""383.33732""","=""1500""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""4.4858322""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L9430""",
"=""389.53022""","=""389.53016""","=""2200""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""4.6362356""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L9430""",
"=""395.97434""","=""395.97430""","=""1500""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""4.5844364""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L9430""",
"=""408.84972""","=""408.84967""","=""290""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""4.4858322""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L9430""",
"=""417.10142""","=""417.10141""","=""90""","=""""","=""""","=""""","=""""",,"=""1.2514955""","=""4.2240148""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L9430""",
"=""421.41404""","=""421.41400""","=""2500""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""4.3954187""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L9430""",
"=""447.48410""","=""447.48399""","=""180""","=""""","=""""","=""""","=""""",,"=""1.4533191""","=""4.2240148""","=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L9430""",
"=""478.95260""","=""478.95260""","=""55w""","=""""","=""""","=""""","=""""",,"=""4.2240148""","=""6.8126676""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<5/2>).5d""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L9430""",
"=""481.88530""","=""481.88530""","=""45w""","=""""","=""""","=""""","=""""",,"=""4.2240148""","=""6.7969133""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<5/2>).5d""","=""2[3/2]""","=""2""",5,5,,"=""""","=""L9430""",
"=""487.67870""","=""487.67868""","=""35""","=""""","=""""","=""""","=""""",,"=""4.2240148""","=""6.7663486""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<5/2>).5d""","=""2[1/2]""","=""1""",5,3,,"=""""","=""L9430""",
"=""511.22332""","=""511.22335""","=""55""","=""""","=""""","=""""","=""""",,"=""4.3954187""","=""6.8206640""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""4d9.(2D<5/2>).5d""","=""2[7/2]""","=""3""",7,7,,"=""""","=""L9430""",
"=""511.84331""","=""511.84331""","=""75""","=""""","=""""","=""""","=""""",,"=""4.8120618""","=""7.2343695""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""","=""4d9.(2D<3/2>).5d""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L9430""",
"=""516.52788""","=""516.52789""","=""160""","=""""","=""""","=""""","=""""",,"=""4.3954187""","=""6.7957577""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""4d9.(2D<5/2>).5d""","=""2[9/2]""","=""4""",7,9,,"=""""","=""L9430""",
"=""523.63183""","=""523.63185""","=""55""","=""""","=""""","=""""","=""""",,"=""4.4544978""","=""6.8222721""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""","=""4d9.(2D<5/2>).5d""","=""2[7/2]""","=""4""",9,9,,"=""""","=""L9430""",
"=""529.71001""","=""529.71000""","=""120""","=""""","=""""","=""""","=""""",,"=""4.4544978""","=""6.7951030""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""","=""4d9.(2D<5/2>).5d""","=""2[9/2]""","=""5""",9,11,,"=""""","=""L9430""",
"=""531.40644""","=""531.40647""","=""18""","=""""","=""""","=""""","=""""",,"=""4.4858322""","=""6.8189653""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""","=""4d9.(2D<5/2>).5d""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L9430""",
"=""534.65912""","=""534.65915""","=""15""","=""""","=""""","=""""","=""""",,"=""4.9418069""","=""7.2607460""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<3/2>).5d""","=""2[5/2]""","=""3""",7,7,,"=""""","=""L9430""",
"=""539.67201""","=""539.67205""","=""35""","=""""","=""""","=""""","=""""",,"=""4.9418069""","=""7.2392059""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<3/2>).5d""","=""2[7/2]""","=""4""",7,9,,"=""""","=""L9430""",
"=""554.43461""","=""554.43461""","=""55""","=""""","=""""","=""""","=""""",,"=""4.5844364""","=""6.8206640""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""","=""4d9.(2D<5/2>).5d""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L9430""",
"=""554.85608""","=""554.85610""","=""35""","=""""","=""""","=""""","=""""",,"=""4.5844364""","=""6.8189653""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""","=""4d9.(2D<5/2>).5d""","=""2[5/2]""","=""2""",5,5,,"=""""","=""L9430""",
"=""562.10231""","=""562.10230""","=""27""","=""""","=""""","=""""","=""""",,"=""5.0550230""","=""7.2607460""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<3/2>).5d""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L9430""",
