Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f11.7s2""","=""4I*""","=""15/2""",16,"=""""","=""0""","=""""","=""0""","=""L7765"""
"=""Es II (5f11.7s 5I*<8>)""","=""Limit""","=""---""",,"=""""","=""51364.58""","=""""","=""0.52""","=""L22449"""
