property,value,unit,source,source_url,retrieved_at,notes,environment
abundance_crust,1.6e-05,%,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Indium,2026-07-24T22:17:53+00:00,Fracción másica aproximada de la compilación; comparar en escala logarítmica.,corteza
abundance_ocean,1e-11,%,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Indium,2026-07-24T22:17:53+00:00,Fracción másica aproximada de la compilación; comparar en escala logarítmica.,océano
goldschmidt_class,chalcophile,,Mendeleev · commit 580e34010f · compilación secundaria,https://periodic-table.rsc.org/element/49/indium,2026-07-24T22:17:53+00:00,Clasificación secundaria con bibliografía indicada en los metadatos de Mendeleev.,clasificación
