obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""""","=""415.1378+""","=""""","=""7.6e+06""","=""1.97e-02""","=""2.16e+00""","=""-0.80""",B+,"=""0.9983409""","=""3.984920""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""""","=""*""","=""7/2""",8,8,,"=""T9460""","=""""",
"=""415.869""","=""415.8679+""","=""40""","=""3.9e+06""","=""1.53e-02""","=""8.4e-01""","=""-1.21""",C+,"=""0.0000000""","=""2.981336""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3P).6p""","=""4D*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
"=""416.143""","=""416.1431+""","=""100""","=""1.15e+07""","=""4.0e-02""","=""3.3e+00""","=""-0.62""",B,"=""0.1305757""","=""3.109940""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3P).6p""","=""4D*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""416.4477+""","=""""","=""6.8e+06""","=""1.77e-02""","=""1.46e+00""","=""-0.97""",B+,"=""0.3731927""","=""3.350378""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(3G*).6s""","=""4G*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""""","=""417.2300+""","=""""","=""3.79e+06""","=""9.9e-03""","=""1.36e+00""","=""-1.00""",B+,"=""0.5110098""","=""3.482613""","=""5d2.(3F).6s""","=""4F""","=""9/2""","=""4f.5d.(3G*).6s""","=""4G*""","=""9/2""",10,10,,"=""T9460""","=""""",
"=""417.350""","=""417.3486+""","=""50""","=""6.9e+06""","=""1.80e-02""","=""1.98e+00""","=""-0.84""",B+,"=""0.4332660""","=""3.404025""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""4f.5d.(3G*).6s""","=""4G*""","=""7/2""",8,8,,"=""T9460""","=""L3475""",
"=""417.866""","=""417.8658+""","=""70""","=""1.18e+07""","=""3.10e-02""","=""2.56e+00""","=""-0.730""",B+,"=""0.1305757""","=""3.097657""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3P).6p?""","=""*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
"=""418.850""","=""418.8490+""","=""280""","=""5.51e+07""","=""2.18e-01""","=""1.20e+01""","=""-0.060""",B+,"=""0.0000000""","=""2.960117""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
"=""""","=""419.1604+""","=""""","=""1.5e+06""","=""2.7e-03""","=""2.2e-01""","=""-1.79""",C,"=""0.1305757""","=""3.088493""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(1D*).6s?""","=""*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""""","=""421.7730+""","=""""","=""3.2e+06""","=""5.7e-03""","=""4.8e-01""","=""-1.47""",B,"=""0.1305757""","=""3.070171""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3P).6p?""","=""2D*?""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""""","=""421.8553+""","=""""","=""1.91e+06""","=""5.0e-03""","=""2.8e-01""","=""-1.70""",C+,"=""0.0000000""","=""2.939022""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3P).6p""","=""4D*""","=""3/2""",4,4,,"=""T9460""","=""""",
"=""""","=""423.9786+""","=""""","=""3.3e+06""","=""5.8e-03""","=""4.9e-01""","=""-1.46""",C+,"=""0.1305757""","=""3.054879""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3P).6p""","=""4S*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""426.354""","=""426.3537+""","=""50""","=""6.8e+06""","=""1.86e-02""","=""1.57e+00""","=""-0.95""",B+,"=""0.1305757""","=""3.038589&dagger;""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
"=""""","=""427.2351+""","=""""","=""2.17e+07""","=""8.9e-02""","=""5.0e+00""","=""-0.45""",B+,"=""0.9287062""","=""3.830720""","=""5d2.(3P).6s""","=""4P""","=""3/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""5/2""",4,6,,"=""T9460""","=""""",
"=""428.147""","=""428.1460+""","=""300""","=""5.69e+07""","=""2.09e-01""","=""1.76e+01""","=""0.097""",B+,"=""0.1305757""","=""3.026415""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(1G*).6s""","=""*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""429.4653+""","=""""","=""1.8e+06""","=""6.6e-03""","=""5.6e-01""","=""-1.40""",C+,"=""0.9521911""","=""3.839135""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""""","=""*""","=""7/2""",6,8,,"=""T9460""","=""""",
"=""""","=""430.7207+""","=""""","=""2.52e+07""","=""7.0e-02""","=""6.0e+00""","=""-0.38""",B+,"=""0.9521911""","=""3.830720""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""""","=""431.2938+""","=""""","=""1.1e+07""","=""6.1e-02""","=""1.73e+00""","=""-0.91""",B+,"=""0.8965802""","=""3.771284&dagger;""","=""5d2.(3P).6s""","=""4P""","=""1/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""3/2""",2,4,,"=""T9460""","=""""",
"=""434.195""","=""434.1941+""","=""40""","=""""","=""""","=""""","=""""",,"=""1.0471760""","=""3.902678""","=""5d2.(1D).6s""","=""2D""","=""3/2""","=""""","=""*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""435.602""","=""435.6017+""","=""60""","=""5.9e+07""","=""2.26e-01""","=""1.94e+01""","=""0.13""",B+,"=""1.1386457""","=""3.984920""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""""","=""*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""435.9137+""","=""""","=""1.28e+06""","=""2.4e-03""","=""2.1e-01""","=""-1.84""",C,"=""0.3731927""","=""3.217430""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3P).6p""","=""*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""""","=""436.1681+""","=""""","=""2.5e+06""","=""7.1e-03""","=""4.1e-01""","=""-1.55""",C+,"=""0.9287062""","=""3.771284&dagger;""","=""5d2.(3P).6s""","=""4P""","=""3/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""3/2""",4,4,,"=""T9460""","=""""",
