obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""536.70""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""537.14""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""537.56""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""632.73""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""683.32""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""699.2618""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L1791""",
"=""699.3720""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L1791""",
"=""701.2742""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L1791""",
"=""701.5809""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L1791""",
"=""706.4012""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L1791""",
"=""757.72""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""758.55""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""759.43""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""760.89""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""800.32""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""803.86""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""806.31""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""806.75""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""808.33""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""809.54""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""809.69""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""815.15""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""815.42""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""815.99""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""816.53""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""818.51""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""818.73""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""819.69""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3316""",
"=""844.279""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""845.270""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""874.473""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""892.131""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""897.215""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""900.444""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""904.109""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""908.563""","=""""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""909.128""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""914.334""","=""""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""918.440""","=""""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""927.366""","=""""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""943.509""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""982.827""","=""""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1022.005""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1031.027""","=""""","=""377""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1033.009""","=""""","=""900""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1038.921""","=""""","=""640""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1065.322""","=""""","=""124""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1193.783""","=""""","=""125""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1195.014""","=""""","=""275""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1195.119""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1195.554""","=""""","=""105""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1195.591""","=""""","=""170""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1196.931""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1197.621""","=""""","=""205""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1197.635""","=""""","=""115""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1482.198""","=""""","=""315""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1492.155""","=""""","=""410""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1515.558""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1547.329""","=""""","=""115""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1547.523""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1552.521""","=""""","=""265""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1562.267""","=""""","=""395""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1562.465""","=""""","=""115""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1666.399""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1681.837""","=""""","=""505""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1682.235""","=""""","=""165""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1687.115""","=""""","=""205""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""1697.735""","=""""","=""115""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2138.007""","=""""","=""235""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2144.841""","=""""","=""680""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2147.934""","=""""","=""415""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2172.229""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2173.653""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2313.997""","=""""","=""105""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2339.523""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2363.462""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2415.477""","=""""","=""265""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2416.582""","=""""","=""170""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2421.104""","=""""","=""185""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2439.264""","=""""","=""375""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2442.033""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2447.785""","=""""","=""225""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2502.434""","=""""","=""255""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
"=""2513.429""","=""""","=""510""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L2647""",
