obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""""","=""2626.7""","=""0.7""","=""""","=""1.19e+03""","=""1.23e-04""","=""6.39e-02""","=""-3.132""",B',"=""4.54157""","=""5.013589""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""5/2""",6,6,,"=""T1115CA""","=""""",
"=""""","=""2626.7""","=""0.7""","=""""","=""2.50e+04""","=""1.72e-03""","=""8.94e-01""","=""-1.985""",B',"=""4.54157""","=""5.013587""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.6d""","=""2D""","=""3/2""",6,4,,"=""T1115CA""","=""""",
"=""""","=""2626.7""","=""0.7""","=""""","=""2.38e+04""","=""1.85e-03""","=""1.28e+00""","=""-1.831""",B',"=""4.54157""","=""5.013589""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.6d""","=""2D""","=""5/2""",8,6,,"=""T1115CA""","=""""",
"=""""","=""2654.31""","=""0.10""","=""""","=""1.37e+04""","=""1.44e-03""","=""5.04e-01""","=""-2.239""",A,"=""4.540720""","=""5.007826""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""2654.31""","=""0.10""","=""""","=""1.37e+05""","=""7.21e-03""","=""2.52e+00""","=""-1.540""",A,"=""4.540720""","=""5.007826""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""2654.32""","=""0.10""","=""""","=""1.23e+05""","=""8.64e-03""","=""4.53e+00""","=""-1.285""",A,"=""4.540723""","=""5.007826""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
"=""""","=""2688.71""","=""0.10""","=""""","=""3.738e+06""","=""4.051e-01""","=""7.172e+01""","=""-0.0914""",AA,"=""3.373129""","=""3.834258""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""1/2""",2,2,,"=""T7401LS""","=""""",
"=""""","=""2688.71""","=""0.10""","=""""","=""3.737e+06""","=""8.100e-01""","=""1.434e+02""","=""0.2095""",AA,"=""3.373129""","=""3.834258""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""3/2""",2,4,,"=""T7401LS""","=""""",
"=""""","=""2842.45""","=""0.11""","=""""","=""3.19e+05""","=""3.87e-02""","=""7.24e+00""","=""-1.111""",A,"=""4.521648""","=""4.957835""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""2842.45""","=""0.11""","=""""","=""6.40e+05""","=""3.87e-02""","=""1.45e+01""","=""-0.810""",A,"=""4.521648""","=""4.957835""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",4,2,,"=""T5118LS""","=""""",
