property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
lattice_constants,"314.7, 314.7, 314.7",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
thermal_conductivity,139,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
electrical_conductivity,20,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
electrical_resistivity,4.999999999997e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
magnetic_susceptibility_mass,1.17e-08,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
magnetic_susceptibility_molar,1.122e-09,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
magnetic_susceptibility_volume,0.0001203,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
superconducting_point,0.915,K,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
bulk_modulus,230,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
shear_modulus,120,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
young_modulus,329,GPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
poisson_ratio,0.31,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
mohs_hardness,5.5,Mohs,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
vickers_hardness,1530,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
brinell_hardness,1500,MPa,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
speed_of_sound,6190,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
thermal_expansion,4.8e-06,K⁻¹,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Molybdenum,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",Mo-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,314.7,314.7,314.7,π/2,π/2,π/2
