Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f10.7s2""","=""5I""","=""8""",17,"=""""","=""0""","=""""","=""0""","=""L15992"""
"=""Cf II (5f10.7s 6I<17/2>)""","=""Limit""","=""---""",,"=""""","=""50666.76""","=""""","=""0.05""","=""L22260"""
