property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Base-centered Monoclinic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
space_group,C12/m1,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,Número de grupo espacial: 12.,O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
lattice_constants,"540.3, 342.9, 508.6",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
lattice_angles,"π/2, 2.313085, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
thermal_conductivity,0.02658,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
magnetic_susceptibility_mass,1.335e-06,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
magnetic_susceptibility_molar,4.27184e-08,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
magnetic_susceptibility_volume,1.90772e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
speed_of_sound,317.5,m/s,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Oxygen,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",O-reference,elemento puro · condiciones de referencia,Base-centered Monoclinic,C12/m1,540.3,342.9,508.6,π/2,2.313085,π/2
