obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""512.277""","=""512.27+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.39885""","=""8.81912""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p2.(3P).6p""","=""4D*""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""514.306""","=""514.31+""","=""100*""","=""""","=""""","=""""","=""""",,"=""6.55850""","=""8.96922""","=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""""","=""26*""","=""7/2""",6,8,,"=""""","=""L4831""",
"=""514.306""","=""514.31+""","=""100*""","=""""","=""""","=""""","=""""",,"=""6.39885""","=""8.80956""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p2.(3P).6p""","=""4P*""","=""3/2""",4,4,,"=""""","=""L4831""",
"=""540.963""","=""540.96+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.58797""","=""8.87992""","=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""","=""4s2.4p2.(3P).6p""","=""2D*""","=""3/2""",2,4,,"=""""","=""L4831""",
"=""545.284""","=""545.28+""","=""135""","=""""","=""""","=""""","=""""",,"=""6.77019""","=""9.04395""","=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""","=""4s2.4p2.(3P).6p""","=""2D*""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""843.123""","=""843.13+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.28523""","=""7.75576""","=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""4s2.4p2.(3P).5p""","=""2D*""","=""3/2""",2,4,,"=""""","=""L4831""",
"=""856.706""","=""856.71+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.39885""","=""7.84607""","=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p2.(3P).5p""","=""4P*""","=""5/2""",4,6,,"=""""","=""L4831""",
"=""865.652""","=""865.65+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.58797""","=""8.02024""","=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""","=""4s2.4p2.(3P).5p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L4831""",
"=""882.415""","=""882.42+""","=""135""","=""""","=""""","=""""","=""""",,"=""6.28523""","=""7.69028""","=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""4s2.4p2.(3P).5p""","=""4P*""","=""3/2""",2,4,,"=""""","=""L4831""",
"=""887.210""","=""887.21+""","=""100""","=""""","=""""","=""""","=""""",,"=""6.55850""","=""7.95597""","=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""4s2.4p2.(3P).5p""","=""2D*""","=""5/2""",6,6,,"=""""","=""L4831""",
