Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f4.6d.7s2""","=""6L""","=""11/2""",12,"=""""","=""0""","=""""","=""0""","=""L15992"""
"=""Np II (5f4.6d.7s 7L<5>)""","=""Limit""","=""---""",,"=""""","=""50535.54""","=""""","=""0.15""","=""L23048"""
