obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""776.789""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""777.821""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""778.960""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""779.352""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""785.360""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""789.005""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""790.388""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""797.817""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""808.254""","=""""","=""300w""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""812.682""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""815.735""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""816.967""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""818.531""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""819.086""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""825.009""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""828.939""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""829.003""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""830.850""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""831.595""","=""""","=""300s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""834.141""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""835.909""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""836.941""","=""""","=""300l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""837.518""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""853.230""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""869.862""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""890.847""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""894.516""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""900.722""","=""""","=""1000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""900.878""","=""""","=""1000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""901.866""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""914.381""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""938.190""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""947.126""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""968.178""","=""""","=""3000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""993.327""","=""""","=""3000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1009.476""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1082.041""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1169.835""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1177.986""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1215.150""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1238.081""","=""""","=""10000s""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1241.138""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
"=""1383.811""","=""""","=""10000l""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3793""",
