obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""415.687""","=""415.6869+""","=""27""","=""""","=""""","=""""","=""""",,"=""3.527638""","=""6.510273""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""11/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""416.721""","=""416.7207+""","=""15""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""4.199894""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""417.374""","=""417.3731+""","=""90""","=""""","=""""","=""""","=""""",,"=""2.053842""","=""5.024426""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""""","=""4052*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""418.365""","=""418.3637+""","=""35""","=""""","=""""","=""""","=""""",,"=""4.031152""","=""6.994702""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""9/2""","=""""","=""5641""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""418.439""","=""""","=""15w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""418.684""","=""418.6821+""","=""18""","=""""","=""""","=""""","=""""",,"=""1.550507""","=""4.511804""","=""5d8.(3P).6s""","=""a 2P""","=""1/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""419.872""","=""419.8708+""","=""23""","=""""","=""""","=""""","=""""",,"=""1.466868""","=""4.419781""","=""5d8.(3F).6s""","=""b 4F""","=""3/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""421.895""","=""421.894+""","=""27""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.935311""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""""","=""3980*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""422.199""","=""422.199+""","=""13""","=""""","=""""","=""""","=""""",,"=""3.268863""","=""6.205495""","=""5d8.(1G).6s""","=""b 2G""","=""7/2""","=""""","=""5005*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""426.031""","=""426.030+""","=""75""","=""5.3e+04""","=""1.45e-04""","=""2.03e-02""","=""-2.84""",B,"=""0.351493""","=""3.261714""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""9/2""",10,10,,"=""T7683,T7959,T4422""","=""L3475""",
"=""426.650""","=""426.649+""","=""27""","=""""","=""""","=""""","=""""",,"=""1.605802""","=""4.511804""","=""5d8.(3P).6s""","=""a 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""426.930""","=""426.930+""","=""260""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""3.785195""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""428.783""","=""428.782+""","=""23""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""4.406441""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""430.281""","=""430.281+""","=""75""","=""1.8e+06""","=""7.e-03""","=""4.2e-01""","=""-1.5""",D,"=""2.053842""","=""4.935311""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""""","=""3980*""","=""5/2""",4,6,,"=""T7959""","=""L3475""",
"=""431.180""","=""431.180+""","=""55""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""4.390359""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""431.271""","=""431.271+""","=""220""","=""1.3e+06""","=""3.6e-03""","=""3.1e-01""","=""-1.7""",D,"=""1.224659""","=""4.099516""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""5/2""",6,6,,"=""T7959,T4422""","=""L3475""",
"=""435.252""","=""435.252+""","=""18""","=""""","=""""","=""""","=""""",,"=""2.299540""","=""5.148099""","=""5d7.6s2""","=""b 4P""","=""3/2""","=""""","=""4152*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""435.378""","=""435.379+""","=""18""","=""""","=""""","=""""","=""""",,"=""2.363216""","=""5.210949""","=""5d8.(1D).6s""","=""a 2D""","=""5/2""","=""""","=""4202*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""439.382""","=""439.382+""","=""18""","=""""","=""""","=""""","=""""",,"=""2.053842""","=""4.875625""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""""","=""3932*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""440.071""","=""440.071+""","=""160""","=""""","=""""","=""""","=""""",,"=""3.527638""","=""6.345008""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""11/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""11/2""",12,12,,"=""""","=""L3475""",
