obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""809.2286""","=""0.002""","=""809.2284""","=""0.0020""","=""11""","=""3.29e+05""","=""9.68e-03""","=""2.58e-01""","=""-2.014""",C,"=""6.779127""","=""8.311256""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.4p""","=""1P*""","=""1""",1,3,,"=""u28""","=""L4743""",
"=""""","=""""","=""815.598""","=""0.012""","=""""","=""1.27e+06""","=""4.22e-03""","=""3.40e-01""","=""-1.897""",B,"=""7.4622919""","=""8.982454""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.7s""","=""1S""","=""0""",3,1,,"=""u28""","=""""",
"=""816.1236""","=""0.002""","=""816.1239""","=""0.0014""","=""1w*""","=""2.65e+05""","=""7.93e-03""","=""2.13e-01""","=""-2.101""",B,"=""7.303596""","=""8.822779""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.6s""","=""3S""","=""1""",1,3,,"=""u28""","=""L4743""",
"=""816.1236""","=""0.002""","=""816.1239""","=""0.0014""","=""1w*""","=""7.94e+05""","=""7.93e-03""","=""6.39e-01""","=""-1.624""",B,"=""7.303596""","=""8.822779""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.6s""","=""3S""","=""1""",3,3,,"=""u28""","=""""",
"=""816.1486""","=""0.002""","=""816.1483""","=""0.0014""","=""3w""","=""1.32e+06""","=""7.89e-03""","=""1.06e+00""","=""-1.40""",B,"=""7.303641""","=""8.822779""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.6s""","=""3S""","=""1""",5,3,,"=""u28""","=""L4743""",
"=""825.6339""","=""0.002""","=""825.6344""","=""0.0014""","=""20""","=""3.38e+07""","=""1.15e-01""","=""9.38e+00""","=""-0.462""",B,"=""5.27744322""","=""6.779127""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.3s""","=""1S""","=""0""",3,1,,"=""T7096c74""","=""L4743""",
"=""828.935""","=""0.005""","=""828.928""","=""0.004""","=""3w,bl""","=""8.04e+05""","=""1.38e-02""","=""1.13e+00""","=""-1.38""",B,"=""7.4622919""","=""8.958010""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",3,5,,"=""u28""","=""L4743""",
"=""854.9714""","=""0.002""","=""854.972""","=""0.003""","=""9*""","=""1.74e+06""","=""5.72e-02""","=""1.61e+00""","=""-1.243""",B,"=""7.303596""","=""8.753751""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.5d""","=""3D""","=""1""",1,3,,"=""u28""","=""L4743""",
"=""854.9714""","=""0.002""","=""854.972""","=""0.003""","=""9*""","=""1.31e+06""","=""1.43e-02""","=""1.21e+00""","=""-1.37""",B,"=""7.303596""","=""8.753751""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""1""",3,3,,"=""u28""","=""""",
"=""854.9714""","=""0.002""","=""854.9721""","=""0.0022""","=""9*""","=""2.35e+06""","=""4.30e-02""","=""3.63e+00""","=""-0.890""",B,"=""7.303596""","=""8.753751""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""2""",3,5,,"=""u28""","=""""",
"=""855.0007""","=""0.002""","=""854.999""","=""0.003""","=""11*""","=""8.73e+04""","=""5.74e-04""","=""8.08e-02""","=""-2.542""",B,"=""7.303641""","=""8.753751""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""1""",5,3,,"=""u28""","=""L4743""",
"=""855.0007""","=""0.002""","=""854.9989""","=""0.0022""","=""11*""","=""7.84e+05""","=""8.60e-03""","=""1.21e+00""","=""-1.37""",B,"=""7.303641""","=""8.753751""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""2""",5,5,,"=""u28""","=""L4743""",
