obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""228.055""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""235.802""","=""235.8037+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.257942""","=""5d3.6s2""","=""a 4F""","=""3/2""","=""""","=""424*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""236.181""","=""236.1828+""","=""260""","=""""","=""""","=""""","=""""",,"=""0.249221""","=""5.498723""","=""5d3.6s2""","=""a 4F""","=""5/2""","=""""","=""443*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""237.230""","=""237.2310+""","=""320""","=""""","=""""","=""""","=""""",,"=""0.491463""","=""5.717771""","=""5d3.6s2""","=""a 4F""","=""7/2""","=""""","=""461*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""237.664""","=""237.647+""","=""70""","=""""","=""""","=""""","=""""",,"=""2.437254""","=""7.65441""","=""5d2.6s2.(3F).6p""","=""z 4D*""","=""3/2""","=""""","=""617""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""238.646""","=""238.6469+""","=""130""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.195300""","=""5d3.6s2""","=""a 4F""","=""3/2""","=""""","=""419*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""239.703""","=""239.7022+""","=""70""","=""""","=""""","=""""","=""""",,"=""0.696920""","=""5.869347""","=""5d3.6s2""","=""a 4F""","=""9/2""","=""""","=""473*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""239.988""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""240.728""","=""240.7279+""","=""130""","=""""","=""""","=""""","=""""",,"=""0.249221""","=""5.399609""","=""5d3.6s2""","=""a 4F""","=""5/2""","=""""","=""435*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""241.505""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""242.177""","=""242.177+""","=""140*""","=""""","=""""","=""""","=""""",,"=""1.325431""","=""6.44501""","=""5d3.6s2""","=""a 2G""","=""9/2""","=""""","=""519*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""242.177""","=""242.1773+""","=""140*""","=""""","=""""","=""""","=""""",,"=""0.491463""","=""5.611026""","=""5d3.6s2""","=""a 4F""","=""7/2""","=""5d4.(5D).6p""","=""x 6D*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""242.838""","=""242.837+""","=""360""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.10566""","=""5d3.6s2""","=""a 4F""","=""3/2""","=""""","=""411*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""243.781""","=""243.8017+""","=""110""","=""""","=""""","=""""","=""""",,"=""2.575439""","=""7.660892""","=""5d2.6s2.(3P).6p""","=""z 2D*""","=""3/2""","=""""","=""617""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""244.065""","=""244.065+""","=""200""","=""""","=""""","=""""","=""""",,"=""0.249221""","=""5.32919""","=""5d3.6s2""","=""a 4F""","=""5/2""","=""""","=""429*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""244.313""","=""244.3131+""","=""130""","=""""","=""""","=""""","=""""",,"=""0.696920""","=""5.771729""","=""5d3.6s2""","=""a 4F""","=""9/2""","=""""","=""465*""","=""11/2""",10,12,,"=""""","=""L3475""",
