obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""164.28597""","=""0.00020""","=""164.285962""","=""0.000005""","=""230""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.6430493""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(2G).6p""","=""b 3F*""","=""2""",5,5,,"=""""","=""L11529""",
"=""164.44634""","=""0.00020""","=""164.44631""","=""0.00008""","=""6000""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.641615""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.(2G).6p""","=""3G*""","=""5""",9,11,,"=""""","=""L11529""",
"=""165.21112""","=""0.00020""","=""165.211163""","=""0.000005""","=""1300""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.60671059""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.(2G).6p""","=""b 3F*""","=""3""",9,7,,"=""""","=""L11529""",
"=""165.49743""","=""0.00020""","=""165.497365""","=""0.000005""","=""250""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.49161161""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(2G).6p""","=""3G*""","=""4""",7,9,,"=""""","=""L11529""",
"=""165.6740""","=""0.0010""","=""165.67176""","=""0.00016""","=""30""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""8.297986""","=""5d9.6s""","=""3D""","=""2""","=""5d9.7p""","=""(3/2,1/2)*""","=""2""",5,5,,"=""""","=""L11529""",
"=""165.76053""","=""0.00020""","=""165.760432""","=""0.000006""","=""1500""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.4797222""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(4F).6p""","=""3F*""","=""3""",7,7,,"=""""","=""L11529""",
"=""166.8901""","=""0.0004""","=""166.88910""","=""0.00008""","=""1700bl(Pt II)""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.429137""","=""5d9.6s""","=""3D""","=""3""","=""5d9.7p""","=""3D*""","=""3""",7,7,,"=""""","=""L11529c153""",
"=""166.89782""","=""0.00020""","=""166.897709""","=""0.000008""","=""3900""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.4287538""","=""5d9.6s""","=""3D""","=""3""","=""5d9.7p""","=""b 1D*""","=""2""",7,5,,"=""""","=""L11529""",
"=""167.04235""","=""0.00020""","=""167.04229""","=""0.00008""","=""690""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""8.236584""","=""5d9.6s""","=""3D""","=""2""","=""""","=""q*""","=""1""",5,3,,"=""""","=""L11529""",
"=""167.4770""","=""0.0010""","=""167.476300""","=""0.000022""","=""20""","=""""","=""""","=""""","=""""",,"=""0.7612841""","=""8.1643732""","=""5d10""","=""1S""","=""0""","=""""","=""n*""","=""1""",1,3,,"=""""","=""L11529""",
