obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""838.6342""","=""0.0019""","=""838.634+""","=""1200""","=""""","=""""","=""""","=""""",,"=""9.299947""","=""10.778353""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""4s2.4p4.(3P<2>).5d""","=""2[3]""","=""5/2""",4,6,,"=""""","=""L351""",
"=""844.8872""","=""0.0019""","=""844.888+""","=""40000""","=""2.8e+07""","=""2.9e-01""","=""3.3e+01""","=""0.07""",D,"=""8.047466""","=""9.514929""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""",4,4,,"=""T6936n,T9382""","=""L351""",
"=""847.9779""","=""0.0019""","=""847.976+""","=""4000""","=""2.3e+07""","=""4.9e-01""","=""2.7e+01""","=""-0.01""",C+,"=""8.292543""","=""9.754661""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""3/2""",2,4,,"=""T6936n,T9382""","=""L351""",
"=""851.5719""","=""0.0019""","=""851.573+""","=""1500""","=""""","=""""","=""""","=""""",,"=""9.385238""","=""10.841181""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""4s2.4p4.(3P<2>).5d""","=""2[4]""","=""7/2""",6,8,,"=""""","=""L351""",
"=""856.0083""","=""0.0020""","=""856.008+""","=""1000""","=""""","=""""","=""""","=""""",,"=""8.329702""","=""9.778103""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<1>).5p""","=""2[1]*""","=""1/2""",4,2,,"=""""","=""L351""",
"=""856.8635""","=""0.0020""","=""856.864+""","=""1000""","=""1.7e+06""","=""2.3e-02""","=""5.2e+00""","=""-0.74""",D,"=""9.363473""","=""10.810427""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).5d""","=""2[4]""","=""9/2""",8,10,,"=""T6936n,T9382""","=""L351""",
"=""864.1033""","=""0.0020""","=""864.104+""","=""20000""","=""2.2e+07""","=""1.7e-01""","=""2.9e+01""","=""0.01""",C+,"=""7.865117""","=""9.299947""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""",6,4,,"=""T6936n,T9382""","=""L351""",
"=""870.0918""","=""0.0020""","=""870.090+""","=""4000""","=""2.4e+07""","=""2.8e-01""","=""3.2e+01""","=""0.04""",C+,"=""8.329702""","=""9.754661""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""3/2""",4,4,,"=""T6936n,T9382""","=""L351""",
"=""879.5887""","=""0.0024""","=""879.588+""","=""10000c""","=""""","=""""","=""""","=""""",,"=""9.409202""","=""10.818773""","=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(1D<2>).5p""","=""2[1]*""","=""3/2""",6,4,,"=""""","=""L351""",
"=""880.9999""","=""0.0024""","=""880.998+""","=""1400hfs""","=""""","=""""","=""""","=""""",,"=""9.411458""","=""10.818773""","=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(1D<2>).5p""","=""2[1]*""","=""3/2""",4,4,,"=""""","=""L351""",
"=""882.2380""","=""0.0021""","=""882.236+""","=""15000""","=""3.0e+07""","=""4.7e-01""","=""8.2e+01""","=""0.45""",C+,"=""9.409202""","=""10.814542""","=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(1D<2>).5p""","=""2[3]*""","=""7/2""",6,8,,"=""T6936n,T9382""","=""L351""",
"=""882.7644""","=""0.0021""","=""882.767+""","=""25000""","=""3.0e+07""","=""5.2e-01""","=""6.1e+01""","=""0.32""",C+,"=""8.329702""","=""9.734198""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""5/2""",4,6,,"=""T6936n,T9382""","=""L351""",
"=""889.1418""","=""0.0021""","=""889.143+""","=""4000""","=""""","=""""","=""""","=""""",,"=""9.363473""","=""10.757896""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""4s2.4p4.(3P<2>).5d""","=""2[3]""","=""7/2""",8,8,,"=""""","=""L351""",
"=""890.0060""","=""0.0021""","=""890.007+""","=""30000""","=""3.0e+07""","=""3.6e-01""","=""6.2e+01""","=""0.33""",C+,"=""7.865117""","=""9.258188""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""",6,6,,"=""T6936n,T9382""","=""L351""",
"=""893.4849""","=""0.0021""","=""893.485+""","=""6000""","=""3.1e+06""","=""3.7e-02""","=""2.2e+00""","=""-1.14""",D,"=""8.292543""","=""9.680190""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""4s2.4p4.(3P<1>).5p""","=""2[0]*""","=""1/2""",2,2,,"=""T6936n,T9382""","=""L351""",
"=""895.1846""","=""0.0021""","=""895.183+""","=""1800""","=""3.3e+06""","=""4.0e-02""","=""7.1e+00""","=""-0.62""",C,"=""9.409202""","=""10.794217""","=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(1D<2>).5p""","=""2[3]*""","=""5/2""",6,6,,"=""T6936n,T9382""","=""L351""",
"=""896.6463""","=""0.0021""","=""896.644+""","=""9000""","=""3.1e+07""","=""5.6e-01""","=""6.6e+01""","=""0.35""",C+,"=""9.411458""","=""10.794217""","=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(1D<2>).5p""","=""2[3]*""","=""5/2""",4,6,,"=""T6936n,T9382""","=""L351""",
"=""916.8576""","=""0.0022""","=""916.858+""","=""30000""","=""3.1e+07""","=""1.9e-01""","=""2.4e+01""","=""-0.11""",C+,"=""8.047466""","=""9.399738""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""1/2""",4,2,,"=""T6936n,T9382""","=""L351""",
"=""917.6147""","=""0.0022""","=""917.615+""","=""15000""","=""2.9e+07""","=""3.7e-01""","=""2.2e+01""","=""-0.13""",C+,"=""8.551216""","=""9.902374""","=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""1/2""",2,2,,"=""T6936n,T9382""","=""L351""",
"=""918.0680""","=""0.0022""","=""918.070+""","=""20000""","=""2.8e+07""","=""1.8e-01""","=""2.1e+01""","=""-0.15""",C+,"=""8.329702""","=""9.680190""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<1>).5p""","=""2[0]*""","=""1/2""",4,2,,"=""T6936n,T9382""","=""L351""",
"=""926.7961""","=""0.0023""","=""926.796+""","=""40000""","=""2.4e+07""","=""4.7e-01""","=""5.7e+01""","=""0.27""",C+,"=""8.047466""","=""9.385238""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""",4,6,,"=""T6936n,T9382""","=""L351""",
"=""932.3419""","=""0.0023""","=""932.342+""","=""15000""","=""2.1e+07""","=""5.4e-01""","=""3.3e+01""","=""0.04""",C+,"=""8.551216""","=""9.881031""","=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""3/2""",2,4,,"=""T6936n,T9382""","=""L351""",
"=""979.617""","=""0.003""","=""979.612+""","=""6000""","=""6.0e+06""","=""1.7e-01""","=""1.11e+01""","=""-0.46""",C+,"=""8.551216""","=""9.816862""","=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""4s2.4p4.(3P<1>).5p""","=""2[1]*""","=""3/2""",2,4,,"=""T6936n,T9382""","=""L351""",
"=""989.911""","=""0.003""","=""989.909+""","=""10000""","=""""","=""""","=""""","=""""",,"=""8.047466""","=""9.299947""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""",4,4,,"=""""","=""L351""",
"=""1014.286""","=""0.003""","=""1014.280+""","=""3000""","=""""","=""""","=""""","=""""",,"=""8.292543""","=""9.514929""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""",2,4,,"=""""","=""L351""",
"=""1024.055""","=""0.003""","=""1024.052+""","=""6000""","=""""","=""""","=""""","=""""",,"=""8.047466""","=""9.258188""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""",4,6,,"=""""","=""L351""",
