obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""393.812""","=""393.81274+""","=""3200""","=""2.92e+07""","=""6.79e-02""","=""1.14e+01""","=""-0.054""",,"=""0.0000000""","=""3.1483034""","=""4f12.6s2""","=""3H""","=""6""","=""4f11.(4F*).5d.6s2""","=""*""","=""6""",13,13,,"=""T7227""","=""L3475""",
"=""394.554""","=""394.55375+""","=""3200""","=""""","=""""","=""""","=""""",,"=""0.6242844""","=""3.7666749""","=""4f12.6s2""","=""3F""","=""4""","=""4f11.(4I*).5d2.(3F) (4F*).6s""","=""*""","=""5""",9,11,,"=""""","=""L3475""",
"=""394.918""","=""""","=""550""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""395.260""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""395.754""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""396.747""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""397.416""","=""397.41595+""","=""2700""","=""4.79e+07""","=""9.60e-02""","=""1.63e+01""","=""0.096""",,"=""0.0000000""","=""3.1197590""","=""4f12.6s2""","=""3H""","=""6""","=""4f11.(4I*).5d.6s2""","=""*""","=""5""",13,11,,"=""T7227""","=""L3475""",
"=""397.470""","=""397.46982+""","=""3200""","=""3.66e+07""","=""1.00e-01""","=""1.70e+01""","=""0.114""",,"=""0.0000000""","=""3.1193362""","=""4f12.6s2""","=""3H""","=""6""","=""""","=""*""","=""7""",13,15,,"=""T7227""","=""L3475""",
"=""397.785""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""397.814""","=""""","=""810""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""398.346""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""398.866""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""398.879""","=""""","=""810""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""399.228""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""400.518""","=""""","=""230""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""400.909""","=""400.90971+""","=""14000""","=""1.73e+08""","=""4.81e-01""","=""8.25e+01""","=""0.796""",,"=""0.0000000""","=""3.0925716""","=""4f12.6s2""","=""3H""","=""6""","=""4f12.(3H).6s.6p""","=""*""","=""7""",13,15,,"=""T7227""","=""L3475""",
"=""401.371""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""402.165""","=""402.16495+""","=""3000""","=""""","=""""","=""""","=""""",,"=""0.8627228""","=""3.9456419""","=""4f12.6s2""","=""3H""","=""5""","=""4f12.(3H).6s.6p""","=""*""","=""6""",11,13,,"=""""","=""L3475""",
"=""402.269""","=""""","=""450""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""404.810""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""406.066""","=""""","=""550""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""407.903""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""408.878""","=""408.87857+""","=""3500""","=""3.03e+07""","=""7.59e-02""","=""1.33e+01""","=""-0.006""",,"=""0.0000000""","=""3.0322988""","=""4f12.6s2""","=""3H""","=""6""","=""4f11.(4I*).5d.6s2""","=""*""","=""6""",13,13,,"=""T7227""","=""L3475""",
"=""409.406""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""409.926""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""411.752""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""411.971""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""413.267""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""415.228""","=""415.22780+""","=""6900""","=""9.60e+07""","=""2.10e-01""","=""3.73e+01""","=""0.436""",,"=""0.0000000""","=""2.9859320""","=""4f12.6s2""","=""3H""","=""6""","=""4f12.(3H).6s.6p""","=""*""","=""5""",13,11,,"=""T7227""","=""L3475""",
"=""419.188""","=""""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""420.650""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""421.962""","=""""","=""1400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""422.218""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""428.777""","=""""","=""690""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""430.012""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""433.003""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""433.258""","=""""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""434.214""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""434.956""","=""""","=""190""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""438.340""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
