obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""522.494""","=""522.506+""","=""300*""","=""""","=""""","=""""","=""""",,"=""2.411144""","=""4.784021""","=""4f7.(8S*).5d (7D*).6s""","=""b 8D*""","=""11/2""","=""4f7.(8S*).6s (9S*).5f?""","=""y 10F?""","=""13/2""",12,14,,"=""""","=""L7586,L3475""",
"=""522.494""","=""522.505+""","=""300*""","=""""","=""""","=""""","=""""",,"=""2.389577""","=""4.762460""","=""4f7.(8S*).5d (7D*).6s""","=""a 6D*""","=""9/2""","=""4f7.(8S*).5d (7D*).6p""","=""z 6D""","=""7/2""",10,8,,"=""""","=""L7586,L3475""",
"=""522.494""","=""522.491+""","=""300*""","=""1.91e+07""","=""6.5e-02""","=""1.34e+01""","=""-0.107""",B+,"=""1.668481""","=""4.041427""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""y 10P""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
"=""524.070""","=""524.072+""","=""120*""","=""""","=""""","=""""","=""""",,"=""1.617857""","=""3.983643""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""9/2""",8,10,,"=""""","=""L7586,L3475""",
"=""524.070""","=""524.063+""","=""120*""","=""""","=""""","=""""","=""""",,"=""1.977834""","=""4.343660""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""7/2""","=""""","=""8D*?""","=""7/2""",8,8,,"=""""","=""L7586,L3475""",
"=""526.787""","=""526.785+""","=""200""","=""1.35e+07""","=""5.6e-02""","=""1.36e+01""","=""-0.10""",B+,"=""1.708339""","=""4.061938""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""13/2""",14,14,,"=""T7356""","=""L7586,L3475""",
"=""527.343""","=""527.342+""","=""390""","=""7.0e+07""","=""3.40e-01""","=""7.1e+01""","=""0.611""",B+,"=""1.931870""","=""4.282983""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""11/2""","=""4f7.(8S*).6s (9S*).6d""","=""e 10D*""","=""13/2""",12,14,,"=""T7356""","=""L7586,L3475""",
"=""527.395""","=""527.394+""","=""110""","=""6.8e+06""","=""2.83e-02""","=""5.9e+00""","=""-0.47""",B,"=""1.668481""","=""4.019367""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
"=""528.429""","=""528.430+""","=""150""","=""3.10e+07""","=""1.30e-01""","=""2.71e+01""","=""0.192""",B+,"=""1.931870""","=""4.278143""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""11/2""","=""4f7.(8S*).6s (9S*).6d""","=""e 10D*""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
"=""528.872""","=""528.871+""","=""55""","=""3.0e+06""","=""1.26e-02""","=""2.2e+00""","=""-0.90""",C+,"=""1.639324""","=""3.983643""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""9/2""",10,10,,"=""T7356""","=""L7586,L3475""",
"=""529.072""","=""529.073+""","=""60""","=""""","=""""","=""""","=""""",,"=""2.195440""","=""4.538866""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""5/2""","=""4f7.(8S*).6s (7S*).6d""","=""e 6D*""","=""5/2""",6,6,,"=""""","=""L7586,L3475""",
"=""529.273""","=""529.271+""","=""120""","=""""","=""""","=""""","=""""",,"=""2.389577""","=""4.732125""","=""4f7.(8S*).5d (7D*).6s""","=""a 6D*""","=""9/2""","=""4f7.(8S*).5d (7D*).6p""","=""z 6D""","=""9/2""",10,10,,"=""""","=""L7586,L3475""",
"=""529.515""","=""529.515+""","=""60""","=""8.7e+06""","=""3.04e-02""","=""6.4e+00""","=""-0.44""",B,"=""1.931870""","=""4.273339""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""11/2""","=""4f7.(8S*).6s (9S*).6d""","=""e 10D*""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
"=""529.611""","=""529.609+""","=""120*""","=""""","=""""","=""""","=""""",,"=""2.195440""","=""4.536493""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""5/2""","=""4f7.(8S*).6s (7S*).6d""","=""e 6D*""","=""7/2""",6,8,,"=""""","=""L7586,L3475""",
"=""529.611""","=""529.616+""","=""120*""","=""""","=""""","=""""","=""""",,"=""1.944107""","=""4.285126""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).6s.7p.(3P*)?""","=""8P?""","=""7/2""",10,8,,"=""""","=""L7586,L3475""",
"=""530.533""","=""530.534+""","=""90""","=""""","=""""","=""""","=""""",,"=""2.059599""","=""4.396571""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""9/2""","=""""","=""8D*?""","=""11/2""",10,12,,"=""""","=""L7586,L3475""",
"=""535.190""","=""535.190+""","=""30h""","=""""","=""""","=""""","=""""",,"=""2.224957""","=""4.541598""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""3/2""","=""4f7.(8S*).6s (7S*).6d""","=""e 6D*""","=""1/2""",4,2,,"=""""","=""L7586,L3475""",
