obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""300.026""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""311.059""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""311.731""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""313.807""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""314.824""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""315.601""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""315.951""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""317.847""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""318.002""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""318.733""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""318.903""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""320.864""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""321.087""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""322.516""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""322.604""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""323.121""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""323.767""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""324.719""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""325.362""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""326.675""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""328.140""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
"=""330.580""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3587""",
