Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f7.6d.7s2""","=""9D*""","=""2""",5,"=""""","=""0""","=""""","=""0""","=""L15992"""
"=""Cm II (5f7.7s2 8S*<7/2>)""","=""Limit""","=""---""",,"=""""","=""48330.68""","=""""","=""0.16""","=""L22423"""
