obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""533.510""","=""533.46567""","=""0.00006""","=""10w""","=""""","=""""","=""""","=""""",,"=""3.663988150""","=""5.98811517""","=""4d10.5p""","=""2P*""","=""1/2""","=""4d10.6p""","=""2P*""","=""1/2""",2,2,M1,"=""""","=""L3326""",
"=""546.7016""","=""546.70041""","=""0.00006""","=""1000""","=""8.6e+07""","=""5.8e-01""","=""4.2e+01""","=""0.36""",D,"=""3.77812896""","=""6.04599260""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.5d""","=""2D""","=""5/2""",4,6,,"=""T4515""","=""L11755""",
"=""547.3075""","=""547.30632""","=""0.00006""","=""50""","=""1.4e+07""","=""6.3e-02""","=""4.5e+00""","=""-0.60""",D,"=""3.77812896""","=""6.04348192""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.5d""","=""2D""","=""3/2""",4,4,,"=""T4515""","=""L11755""",
"=""547.6897""","=""547.689752""","=""0.000012""","=""20""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""6.01333411""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d10.6p""","=""2P*""","=""3/2""",6,4,,"=""""","=""L11755""",
"=""554.721""","=""554.688228""","=""0.000015""","=""20w""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""6.01333411""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.6p""","=""2P*""","=""3/2""",4,4,M1,"=""""","=""L3326""",
"=""556.108""","=""556.11""","=""0.06""","=""10w""","=""""","=""""","=""""","=""""",,"=""7.709567""","=""9.93907""","=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""","=""4d9.5s.(3D).6s""","=""4D""","=""5/2""",6,6,,"=""""","=""L2489""",
"=""566.891""","=""566.90""","=""0.06""","=""100""","=""""","=""""","=""""","=""""",,"=""7.658891""","=""9.84596""","=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""","=""4d9.5s.(3D).6s""","=""4D""","=""7/2""",8,8,,"=""""","=""L3326""",
"=""608.546""","=""608.52""","=""0.07""","=""10w""","=""""","=""""","=""""","=""""",,"=""8.138044""","=""10.17552""","=""4d9.5s.(3D).5p""","=""2F*""","=""7/2""","=""4d9.5s.(3D).6s""","=""2D""","=""5/2""",8,6,,"=""""","=""L3326""",
"=""627.023""","=""627.02061""","=""0.00020""","=""10w""","=""""","=""""","=""""","=""""",,"=""5.27628977""","=""7.2536442""","=""4d10.6s""","=""2S""","=""1/2""","=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""",2,4,,"=""""","=""L3326""",
"=""662.300""","=""662.30""","=""0.09""","=""20""","=""""","=""""","=""""","=""""",,"=""8.303507""","=""10.17552""","=""4d9.5s.(3D).5p""","=""2D*""","=""5/2""","=""4d9.5s.(3D).6s""","=""2D""","=""5/2""",6,6,,"=""""","=""L2489""",
"=""736.199""","=""736.20465""","=""0.00011""","=""20""","=""""","=""""","=""""","=""""",,"=""4.304015538""","=""5.98811517""","=""4d9.5s2""","=""2D""","=""3/2""","=""4d10.6p""","=""2P*""","=""1/2""",4,2,,"=""""","=""L3326""",
"=""768.9888""","=""768.98886""","=""0.00006""","=""500""","=""""","=""""","=""""","=""""",,"=""3.663988150""","=""5.27628977""","=""4d10.5p""","=""2P*""","=""1/2""","=""4d10.6s""","=""2S""","=""1/2""",2,2,,"=""""","=""L11755""",
"=""827.5783""","=""827.57604""","=""0.00007""","=""1000""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""5.27628977""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.6s""","=""2S""","=""1/2""",4,2,,"=""""","=""L11755""",
"=""864.807""","=""""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3326""",
"=""870.724""","=""870.70925""","=""0.00015""","=""10w""","=""""","=""""","=""""","=""""",,"=""5.27628977""","=""6.70023465""","=""4d10.6s""","=""2S""","=""1/2""","=""4d10.7p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3326""",
"=""1255.4""","=""""","=""""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L17220,L3326""",
"=""1682.4""","=""1682.1810""","=""0.0003""","=""60""","=""""","=""""","=""""","=""""",,"=""5.27628977""","=""6.01333411""","=""4d10.6s""","=""2S""","=""1/2""","=""4d10.6p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L17220,L3326""",
"=""1742.1""","=""1741.7782""","=""0.0006""","=""20""","=""""","=""""","=""""","=""""",,"=""5.27628977""","=""5.98811517""","=""4d10.6s""","=""2S""","=""1/2""","=""4d10.6p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L17220,L3326""",
"=""1831.3""","=""1831.2469""","=""0.0010""","=""15""","=""""","=""""","=""""","=""""",,"=""6.04348192""","=""6.72052988""","=""4d10.5d""","=""2D""","=""3/2""","=""4d10.4f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L17220,L3326""",
"=""1838.7""","=""1838.0576""","=""0.0014""","=""15*""","=""""","=""""","=""""","=""""",,"=""6.04599260""","=""6.7205319""","=""4d10.5d""","=""2D""","=""5/2""","=""4d10.4f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L17220,L3326""",
"=""1838.7""","=""1838.0630""","=""0.0010""","=""15*""","=""""","=""""","=""""","=""""",,"=""6.04599260""","=""6.72052988""","=""4d10.5d""","=""2D""","=""5/2""","=""4d10.4f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L17220,L3326""",
"=""3990.0""","=""3989.092""","=""0.006""","=""5*""","=""""","=""""","=""""","=""""",,"=""6.72052988""","=""7.0313379""","=""4d10.4f""","=""2F*""","=""5/2""","=""4d10.5g""","=""2G""","=""7/2,9/2""",6,18,,"=""""","=""L15228""",
"=""3990.0""","=""3989.118""","=""0.006""","=""5*""","=""""","=""""","=""""","=""""",,"=""6.7205319""","=""7.0313379""","=""4d10.4f""","=""2F*""","=""7/2""","=""4d10.5g""","=""2G""","=""7/2,9/2""",8,18,,"=""""","=""L15228""",
"=""3996.2""","=""3998.820""","=""0.005""","=""8*""","=""""","=""""","=""""","=""""",,"=""6.72052988""","=""7.03058187""","=""4d10.4f""","=""2F*""","=""5/2""","=""4d10.7d""","=""2D""","=""5/2""",6,6,,"=""""","=""L15228""",
"=""3996.2""","=""3998.845""","=""0.006""","=""8*""","=""""","=""""","=""""","=""""",,"=""6.7205319""","=""7.03058187""","=""4d10.4f""","=""2F*""","=""7/2""","=""4d10.7d""","=""2D""","=""5/2""",8,6,,"=""""","=""L15228""",
