property,value,unit,energy,particle_or_photon,isotope,transition,process,source,source_url,retrieved_at,notes,experimental_energy_ev,theoretical_energy_ev
mass_energy_absorption_coefficient,1158,cm²/g,0.0041494 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.0041494,cm²/g,1 MeV,fotón,natural,M1,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción M1.,,
mass_energy_absorption_coefficient,1242,cm²/g,1 MeV,fotón,natural,M1,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción M1.,,
mass_attenuation_coefficient,793.1,cm²/g,0.005 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,772.1,cm²/g,0.005 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,508.5,cm²/g,0.006 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,494.2,cm²/g,0.006 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,249.4,cm²/g,0.008 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,240.6,cm²/g,0.008 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,142.7,cm²/g,0.01 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,136.3,cm²/g,0.01 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,63.37,cm²/g,0.0138138 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,59.1,cm²/g,0.0138138 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.0138138,cm²/g,3 MeV,fotón,natural,L3,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L3.,,
mass_energy_absorption_coefficient,151.3,cm²/g,3 MeV,fotón,natural,L3,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L3.,,
mass_attenuation_coefficient,121.9,cm²/g,0.015 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
