Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f12.7s2""","=""3H""","=""6""",13,"=""""","=""0""","=""""","=""0""","=""L16359"""
"=""Fm II (5f12.7s 4H<13/2>)""","=""Limit""","=""---""",,"=""[""","=""52400""","=""]""","=""600""","=""L16359"""
