obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""340.272""","=""340.2711+""","=""310""","=""""","=""""","=""""","=""""",,"=""1.192764""","=""4.836452""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d7.(a 4P).5p""","=""y 5P*""","=""2""",3,5,,"=""""","=""L3475""",
"=""341.026""","=""341.0254+""","=""310""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""4.632920""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d7.(a 4P).5p""","=""x 5D*""","=""3""",5,7,,"=""""","=""L3475""",
"=""341.833""","=""341.8307+""","=""3100""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""3.886383""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 5G*""","=""4""",7,9,,"=""""","=""L3475""",
"=""342.929""","=""342.9301+""","=""4900""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""3.615436""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""6""",11,13,,"=""""","=""L3475""",
"=""343.175""","=""343.1749+""","=""490""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""3.949256""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",5,7,,"=""""","=""L3475""",
"=""343.372""","=""343.3742+""","=""310""","=""""","=""""","=""""","=""""",,"=""1.130814""","=""4.741575""","=""4d8""","=""b 3F""","=""4""","=""4d7.(a 2G).5p""","=""y 3F*""","=""4""",9,9,,"=""""","=""L3475""",
"=""343.773""","=""343.7721+""","=""6400""","=""7.28e+07""","=""1.58e-01""","=""1.61e+01""","=""0.152""",,"=""0.147621""","=""3.754202""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d7.(a 4F).5p""","=""z 5G*""","=""5""",9,11,,"=""T6131""","=""L3475""",
"=""343.936""","=""343.9356+""","=""260""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""4.602157""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d7.(a 4P).5p""","=""z 3P*""","=""2""",5,5,,"=""""","=""L3475""",
"=""344.119""","=""344.1210+""","=""220""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""4.530707""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4P).5p""","=""x 5D*""","=""4""",9,9,,"=""""","=""L3475""",
"=""347.474""","=""347.4746+""","=""260""","=""""","=""""","=""""","=""""",,"=""1.321005""","=""4.889156""","=""4d8""","=""b 3F""","=""3""","=""4d7.(a 2G).5p""","=""y 3F*""","=""3""",7,7,,"=""""","=""L3475""",
"=""348.230""","=""348.2300+""","=""240""","=""""","=""""","=""""","=""""",,"=""0.997290""","=""4.557701""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d7.(a 4P).5p""","=""y 3D*""","=""3""",5,7,,"=""""","=""L3475""",
"=""349.994""","=""349.9943+""","=""8300""","=""8.61e+07""","=""1.87e-01""","=""2.37e+01""","=""0.313""",,"=""0.000000""","=""3.542463""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d7.(a 4F).5p""","=""z 5G*""","=""6""",11,13,,"=""T6131""","=""L3475""",
"=""351.550""","=""351.5492+""","=""640""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""3.786113""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 5G*""","=""3""",7,7,,"=""""","=""L3475""",
"=""352.065""","=""352.0641+""","=""330""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""3.669258""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""4""",9,9,,"=""""","=""L3475""",
"=""352.969""","=""352.9689+""","=""200""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""3.849009""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",5,7,,"=""""","=""L3475""",
